* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (2- UMM-6), MICROPHONE (Master Volume), R, volume: 0.320. Timing signal peak level -58.2 dBFS, measurement signal peak level -43.5 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026 6:47:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -2.7740 ms (-951 mm, -(3 ft 1.46 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -18.4 ppm
* Measurement: MID (1.9) LW+ TW (1.8k) LR
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 30.029297 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
30.029297 78.555 -117.0153
30.246902 78.643 -117.6192
30.466084 78.757 -118.4828
30.686853 78.890 -119.5543
30.909224 79.036 -120.7783
31.133205 79.193 -122.1010
31.358809 79.357 -123.4753
31.586048 79.528 -124.8657
31.814934 79.708 -126.2504
32.045479 79.897 -127.6224
32.277695 80.097 -128.9877
32.511593 80.305 -130.3620
32.747185 80.521 -131.7661
32.984486 80.738 -133.2209
33.223503 80.954 -134.7436
33.464252 81.161 -136.3452
33.706749 81.356 -138.0300
33.951000 81.533 -139.7957
34.197021 81.689 -141.6351
34.444828 81.820 -143.5406
34.694431 81.923 -145.4957
34.945843 81.995 -147.4783
35.199074 82.035 -149.4645
35.454140 82.042 -151.4253
35.711056 82.016 -153.3272
35.969833 81.960 -155.1339
36.230484 81.879 -156.8100
36.493027 81.779 -158.3277
36.757469 81.673 -159.6731
37.023830 81.572 -160.8533
37.292122 81.490 -161.9002
37.562355 81.435 -162.8725
37.834549 81.415 -163.8387
38.108715 81.428 -164.8670
38.384865 81.471 -166.0142
38.663017 81.534 -167.3128
38.943184 81.607 -168.7668
39.225384 81.681 -170.3547
39.509628 81.751 -172.0374
39.795933 81.811 -173.7667
40.084309 81.862 -175.4941
40.374775 81.905 -177.1763
40.667347 81.942 -178.7773
40.962040 81.975 179.7333
41.258869 82.006 178.3780
41.557846 82.036 177.1755
41.858990 82.068 176.1433
42.162315 82.104 175.2958
42.467842 82.148 174.6402
42.775581 82.206 174.1721
43.085552 82.282 173.8698
43.397766 82.381 173.6918
43.712246 82.504 173.5783
44.029003 82.650 173.4575
44.348057 82.813 173.2570
44.669422 82.987 172.9201
44.993114 83.159 172.4067
45.319153 83.321 171.7011
45.647552 83.465 170.8164
45.978333 83.586 169.7850
46.311512 83.684 168.6493
46.647106 83.762 167.4522
46.985130 83.828 166.2279
47.325603 83.891 164.9956
47.668545 83.960 163.7570
48.013969 84.042 162.4972
48.361900 84.142 161.1896
48.712349 84.262 159.8008
49.065338 84.397 158.3027
49.420887 84.541 156.6787
49.779011 84.685 154.9272
50.139729 84.818 153.0653
50.503063 84.933 151.1292
50.869030 85.022 149.1687
51.237648 85.084 147.2406
51.608936 85.120 145.3983
51.982918 85.135 143.6826
52.359608 85.134 142.1141
52.739025 85.126 140.6906
53.121193 85.115 139.4101
53.506130 85.103 138.2350
53.893856 85.090 137.1183
54.284393 85.072 136.0373
54.677761 85.045 134.9847
55.073978 85.005 133.9697
55.473068 84.951 133.0133
55.875050 84.885 132.1424
56.279942 84.810 131.3821
56.687771 84.736 130.7489
57.098553 84.669 130.2455
57.512314 84.621 129.8579
57.929073 84.599 129.5701
58.348850 84.610 129.3358
58.771671 84.656 129.0953
59.197556 84.736 128.7999
59.626526 84.846 128.4081
60.058605 84.980 127.8907
60.493816 85.129 127.2316
60.932178 85.286 126.4277
61.373718 85.444 125.4849
61.818459 85.599 124.4149
62.266422 85.744 123.2328
62.717632 85.877 121.9553
63.172112 85.996 120.6124
63.629883 86.099 119.2195
64.090973 86.186 117.7858
64.555405 86.258 116.3277
65.023201 86.316 114.8586
65.494385 86.363 113.3882
65.968987 86.400 111.9223
66.447021 86.429 110.4644
66.928520 86.452 109.0157
67.413513 86.468 107.5767
67.902016 86.478 106.1477
68.394058 86.480 104.7299
68.889671 86.475 103.3324
69.388878 86.460 101.9614
69.891701 86.435 100.6237
70.398163 86.401 99.3315
70.908295 86.358 98.0959
71.422127 86.309 96.9244
71.939682 86.259 95.8172
72.460983 86.210 94.7657
72.986069 86.164 93.7522
73.514954 86.124 92.7556
74.047676 86.086 91.7589
74.584259 86.049 90.7572
75.124725 86.008 89.7536
75.669113 85.961 88.7730
76.217445 85.911 87.8485
76.769745 85.859 87.0035
77.326050 85.810 86.2529
77.886383 85.768 85.6000
78.450783 85.740 85.0378
79.019272 85.728 84.5490
79.591881 85.738 84.1070
80.168640 85.770 83.6758
80.749573 85.824 83.2127
81.334717 85.898 82.6738
81.924103 85.987 82.0178
82.517761 86.083 81.2184
83.115723 86.178 80.2644
83.718010 86.266 79.1555
84.324669 86.340 77.9017
84.935722 86.395 76.5204
85.551201 86.426 75.0338
86.171143 86.430 73.4684
86.795578 86.405 71.8545
87.424538 86.350 70.2262
88.058052 86.267 68.6191
88.696159 86.158 67.0676
89.338890 86.027 65.5957
89.986275 85.879 64.2310
90.638351 85.720 62.9980
91.295151 85.556 61.9073
91.956711 85.392 60.9595
92.623070 85.233 60.1458
93.294258 85.080 59.4483
93.970306 84.933 58.8444
94.651253 84.791 58.3127
95.337135 84.648 57.8418
96.027985 84.498 57.4373
96.723846 84.337 57.1254
97.424744 84.162 56.9480
98.130722 83.975 56.9638
98.841820 83.782 57.2364
99.558067 83.593 57.8152
100.279503 83.426 58.7212
101.006172 83.296 59.9325
101.738106 83.221 61.3788
102.475342 83.211 62.9488
103.217918 83.269 64.5086
103.965881 83.390 65.9264
104.719261 83.561 67.0940
105.478104 83.767 67.9403
106.242439 83.991 68.4257
107.012314 84.216 68.5596
107.787766 84.433 68.3826
108.568840 84.632 67.9415
109.355576 84.810 67.2849
110.148010 84.964 66.4567
110.946190 85.093 65.4957
111.750153 85.197 64.4390
112.559937 85.275 63.3233
113.375595 85.328 62.1837
114.197159 85.359 61.0499
115.024681 85.369 59.9450
115.858200 85.361 58.8749
116.697754 85.336 57.8576
117.543396 85.294 56.9190
118.395164 85.237 56.0823
119.253105 85.165 55.3759
120.117264 85.082 54.8288
120.987686 84.995 54.4622
121.864410 84.910 54.2826
122.747490 84.838 54.2780
123.636971 84.784 54.4203
124.532898 84.756 54.6711
125.435318 84.758 54.9875
126.344276 84.792 55.3229
127.259819 84.859 55.6300
128.181992 84.957 55.8600
129.110855 85.079 55.9639
130.046448 85.220 55.9005
130.988815 85.368 55.6445
131.938019 85.514 55.1903
132.894089 85.650 54.5528
133.857101 85.767 53.7611
134.827087 85.863 52.8519
135.804108 85.934 51.8635
136.788193 85.980 50.8318
137.779419 86.001 49.7864
138.777832 85.997 48.7577
139.783478 85.967 47.7773
140.796402 85.913 46.8768
141.816666 85.835 46.0929
142.844330 85.734 45.4684
143.879440 85.614 45.0492
144.922043 85.484 44.8803
145.972214 85.351 44.9970
147.029984 85.230 45.4154
148.095428 85.134 46.1231
149.168594 85.077 47.0731
150.249527 85.069 48.1853
151.338303 85.114 49.3524
152.434967 85.211 50.4568
153.539566 85.351 51.3918
154.652176 85.520 52.0805
155.772842 85.702 52.4864
156.901642 85.883 52.6127
158.038620 86.051 52.4942
159.183838 86.198 52.1850
160.337357 86.320 51.7474
161.499222 86.414 51.2435
162.669510 86.483 50.7298
163.848282 86.528 50.2561
165.035599 86.555 49.8607
166.231522 86.568 49.5722
167.436096 86.573 49.4140
168.649414 86.576 49.4014
169.871521 86.586 49.5388
171.102478 86.610 49.8161
172.342361 86.654 50.2063
173.591232 86.722 50.6682
174.849152 86.816 51.1537
176.116180 86.934 51.6182
177.392395 87.072 52.0290
178.677856 87.226 52.3706
179.972626 87.393 52.6331
181.276779 87.568 52.8094
182.590393 87.751 52.8966
183.913513 87.936 52.8929
185.246231 88.122 52.7980
186.588608 88.305 52.6166
187.940704 88.483 52.3588
189.302597 88.655 52.0396
190.674362 88.819 51.6747
192.056061 88.978 51.2753
193.447784 89.131 50.8460
194.849594 89.279 50.3871
196.261551 89.422 49.8918
197.683746 89.558 49.3539
199.116241 89.683 48.7763
200.559113 89.796 48.1709
202.012451 89.896 47.5561
203.476318 89.985 46.9525
204.950790 90.063 46.3773
206.435944 90.134 45.8405
207.931870 90.202 45.3436
209.438629 90.267 44.8813
210.956314 90.332 44.4454
212.484985 90.397 44.0271
214.024734 90.461 43.6223
215.575653 90.524 43.2293
217.137802 90.586 42.8447
218.711273 90.647 42.4623
220.296143 90.706 42.0751
221.892502 90.762 41.6782
223.500427 90.813 41.2717
225.120010 90.858 40.8603
226.751328 90.895 40.4513
228.394455 90.923 40.0531
230.049500 90.943 39.6738
231.716537 90.955 39.3121
233.395645 90.959 38.9767
235.086929 90.956 38.6797
236.790466 90.947 38.4257
238.506348 90.932 38.2183
240.234665 90.912 38.0591
241.975510 90.889 37.9474
243.728958 90.862 37.8813
245.495117 90.831 37.8600
247.274078 90.798 37.8850
249.065933 90.760 37.9601
250.870773 90.720 38.0894
252.688690 90.678 38.2627
254.519775 90.634 38.4843
256.364136 90.590 38.7627
258.221863 90.546 39.0950
260.093048 90.503 39.4783
261.977783 90.461 39.9110
263.876190 90.421 40.3927
265.788361 90.381 40.9252
267.714386 90.344 41.5107
269.654358 90.309 42.1501
271.608398 90.279 42.8394
273.576599 90.255 43.5679
275.559052 90.236 44.3097
277.555878 90.222 45.0524
279.567169 90.209 45.7934
281.593018 90.195 46.5315
283.633545 90.177 47.2752
285.688873 90.152 48.0427
287.759094 90.119 48.8580
289.844330 90.078 49.7479
291.944672 90.034 50.7356
294.060211 89.991 51.8344
296.191101 89.954 53.0429
298.337433 89.929 54.3431
300.499298 89.920 55.7081
302.676849 89.927 57.0998
304.870178 89.949 58.4814
307.079407 89.984 59.8292
309.304626 90.026 61.1326
311.545990 90.074 62.3917
313.803589 90.124 63.6130
316.077545 90.175 64.8040
318.367981 90.225 65.9706
320.675018 90.275 67.1168
322.998749 90.322 68.2453
325.339325 90.367 69.3587
327.696869 90.408 70.4682
330.071503 90.444 71.5772
332.463348 90.474 72.6890
334.872528 90.498 73.8145
337.299164 90.518 74.9641
339.743378 90.535 76.1445
342.205292 90.550 77.3574
344.685059 90.566 78.5982
347.182800 90.585 79.8571
349.698639 90.605 81.1211
352.232697 90.626 82.3784
354.785126 90.646 83.6209
357.356049 90.662 84.8573
359.945587 90.671 86.0915
362.553894 90.672 87.3288
365.181122 90.665 88.5836
367.827362 90.647 89.8709
370.492798 90.621 91.2053
373.177551 90.587 92.6001
375.881744 90.546 94.0659
378.605530 90.502 95.6095
381.349060 90.455 97.2328
384.112488 90.410 98.9341
386.895935 90.366 100.7088
389.699554 90.327 102.5516
392.523468 90.294 104.4518
395.367859 90.268 106.3946
398.232849 90.248 108.3664
401.118622 90.234 110.3555
404.025299 90.223 112.3547
406.953033 90.215 114.3615
409.901978 90.208 116.3777
412.872284 90.199 118.4102
415.864136 90.188 120.4690
418.877655 90.177 122.5660
421.913025 90.165 124.7092
424.970367 90.155 126.8981
428.049866 90.150 129.1238
431.151703 90.151 131.3715
434.276001 90.155 133.6249
437.422943 90.163 135.8717
440.592682 90.171 138.1072
443.785400 90.176 140.3349
447.001251 90.178 142.5652
450.240417 90.174 144.8121
453.503052 90.166 147.0898
456.789307 90.153 149.4103
460.099396 90.138 151.7808
463.433472 90.123 154.2053
466.791687 90.108 156.6832
470.174255 90.096 159.2091
473.581329 90.088 161.7740
477.013092 90.082 164.3658
480.469727 90.078 166.9733
483.951416 90.073 169.5923
487.458313 90.066 172.2273
490.990631 90.055 174.8901
494.548553 90.041 177.5931
498.132263 90.024 -179.6556
501.741943 90.007 -176.8538
505.377777 89.990 -174.0009
509.039948 89.976 -171.1015
512.728638 89.964 -168.1640
516.444092 89.956 -165.1960
520.186462 89.951 -162.2049
523.955933 89.949 -159.1964
527.752747 89.949 -156.1754
531.577087 89.951 -153.1460
535.429138 89.953 -150.1109
539.309082 89.953 -147.0688
543.217163 89.949 -144.0131
547.153564 89.941 -140.9329
551.118469 89.929 -137.8178
