* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (2- UMM-6), MICROPHONE (Master Volume), R, volume: 0.320. Timing signal peak level -58.5 dBFS, measurement signal peak level -42.9 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026 6:50:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -2.7739 ms (-951 mm, -(3 ft 1.46 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -18.4 ppm
* Measurement: MID (1.9k) + TW (1.9k) LR
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 30.029297 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
30.029297 60.407 -39.3586
30.246902 60.226 -40.3874
30.466084 59.972 -41.7919
30.686853 59.644 -43.3880
30.909224 59.240 -44.9562
31.133205 58.762 -46.2482
31.358809 58.215 -46.9846
31.586048 57.606 -46.8370
31.814934 56.951 -45.3902
32.045479 56.268 -42.0785
32.277695 55.582 -36.1045
32.511593 54.927 -26.4494
32.747185 54.337 -12.3690
32.984486 53.847 5.1428
33.223503 53.481 22.6446
33.464252 53.247 37.0575
33.706749 53.138 47.8804
33.951000 53.130 56.0321
34.197021 53.197 62.5448
34.444828 53.314 68.1880
34.694431 53.466 73.4777
34.945843 53.645 78.7180
35.199074 53.849 84.0220
35.454140 54.077 89.3358
35.711056 54.324 94.4918
35.969833 54.580 99.3002
36.230484 54.831 103.6570
36.493027 55.065 107.6327
36.757469 55.269 111.5461
37.023830 55.440 116.0973
37.292122 55.579 122.7447
37.562355 55.695 134.7872
37.834549 55.800 159.1065
38.108715 55.903 -164.2401
38.384865 56.009 -137.8872
38.663017 56.117 -125.3471
38.943184 56.220 -119.4533
39.225384 56.308 -116.5500
39.509628 56.372 -115.0962
39.795933 56.405 -114.3910
40.084309 56.406 -114.0940
40.374775 56.371 -114.0350
40.667347 56.301 -114.1245
40.962040 56.197 -114.2994
41.258869 56.066 -114.4888
41.557846 55.916 -114.5714
41.858990 55.765 -114.2925
42.162315 55.636 -112.9749
42.467842 55.553 -107.5974
42.775581 55.537 -39.2415
43.085552 55.599 44.6905
43.397766 55.737 50.9319
43.712246 55.933 52.7005
44.029003 56.159 53.3824
44.348057 56.385 53.6728
44.669422 56.581 53.8688
44.993114 56.723 54.2226
45.319153 56.796 55.0795
45.647552 56.797 57.0107
45.978333 56.729 61.0530
46.311512 56.606 69.2751
46.647106 56.449 85.8088
46.985130 56.278 114.7172
47.325603 56.118 145.7511
47.668545 55.995 165.6443
48.013969 55.935 176.9315
48.361900 55.964 -176.1780
48.712349 56.103 -171.7706
49.065338 56.365 -169.1671
49.420887 56.749 -168.1968
49.779011 57.244 -168.8657
50.139729 57.829 -171.2064
50.503063 58.487 -175.2028
50.869030 59.198 179.2682
51.237648 59.946 172.4918
51.608936 60.717 164.9307
51.982918 61.495 157.1539
52.359608 62.270 149.6904
52.739025 63.026 142.8975
53.121193 63.752 136.9364
53.506130 64.433 131.7679
53.893856 65.055 127.2377
54.284393 65.601 123.1689
54.677761 66.054 119.4021
55.073978 66.398 115.8322
55.473068 66.618 112.4282
55.875050 66.704 109.2358
56.279942 66.650 106.3694
56.687771 66.456 103.9998
57.098553 66.129 102.3411
57.512314 65.678 101.6393
57.929073 65.117 102.1659
58.348850 64.462 104.1423
58.771671 63.731 107.6472
59.197556 62.940 112.4600
59.626526 62.108 117.9072
60.058605 61.250 122.9777
60.493816 60.384 126.7421
60.932178 59.525 128.7352
61.373718 58.689 129.0077
61.818459 57.894 127.9588
62.266422 57.156 126.1510
62.717632 56.495 124.1703
63.172112 55.926 122.5401
63.629883 55.461 121.6302
64.090973 55.109 121.6415
64.555405 54.870 122.6219
65.023201 54.739 124.4739
65.494385 54.702 126.9798
65.968987 54.738 129.8424
66.447021 54.819 132.7349
66.928520 54.917 135.3510
67.413513 55.001 137.4459
67.902016 55.043 138.8638
68.394058 55.021 139.5449
68.889671 54.920 139.5178
69.388878 54.737 138.8588
69.891701 54.481 137.6672
70.398163 54.170 136.0579
70.908295 53.831 134.1605
71.422127 53.497 132.1310
71.939682 53.201 130.1466
72.460983 52.976 128.3751
72.986069 52.845 126.9288
73.514954 52.820 125.8319
74.047676 52.893 125.0194
74.584259 53.042 124.3669
75.124725 53.238 123.7192
75.669113 53.447 122.9368
76.217445 53.639 121.9053
76.769745 53.790 120.5350
77.326050 53.880 118.7729
77.886383 53.900 116.6062
78.450783 53.847 114.0641
79.019272 53.728 111.2158
79.591881 53.563 108.1674
80.168640 53.378 105.0567
80.749573 53.207 102.0458
81.334717 53.082 99.3032
81.924103 53.030 96.9792
82.517761 53.066 95.1931
83.115723 53.188 94.0240
83.718010 53.384 93.5168
84.324669 53.639 93.6933
84.935722 53.937 94.5511
85.551201 54.270 96.0470
86.171143 54.633 98.0747
86.795578 55.024 100.4545
87.424538 55.439 102.9503
88.058052 55.871 105.3202
88.696159 56.312 107.3765
89.338890 56.753 109.0154
89.986275 57.186 110.2374
90.638351 57.608 111.1157
91.295151 58.021 111.7518
91.956711 58.427 112.2487
92.623070 58.833 112.6852
93.294258 59.240 113.1045
93.970306 59.651 113.5170
94.651253 60.064 113.9125
95.337135 60.475 114.2738
96.027985 60.882 114.5828
96.723846 61.284 114.8201
97.424744 61.684 114.9597
98.130722 62.084 114.9780
98.841820 62.487 114.8526
99.558067 62.897 114.5626
100.279503 63.317 114.0927
101.006172 63.748 113.4354
101.738106 64.187 112.5916
102.475342 64.630 111.5699
103.217918 65.072 110.3849
103.965881 65.506 109.0538
104.719261 65.925 107.5942
105.478104 66.323 106.0254
106.242439 66.693 104.3577
107.012314 67.033 102.6163
107.787766 67.340 100.8342
108.568840 67.612 99.0444
109.355576 67.850 97.2911
110.148010 68.055 95.6313
110.946190 68.233 94.1276
111.750153 68.391 92.8353
112.559937 68.539 91.7952
113.375595 68.682 91.0320
114.197159 68.829 90.5546
115.024681 68.984 90.3556
115.858200 69.150 90.4048
116.697754 69.331 90.6772
117.543396 69.531 91.1463
118.395164 69.751 91.7699
119.253105 69.996 92.4995
120.117264 70.268 93.2816
120.987686 70.570 94.0591
121.864410 70.902 94.7767
122.747490 71.262 95.3856
123.636971 71.649 95.8476
124.532898 72.056 96.1362
125.435318 72.477 96.2346
126.344276 72.906 96.1316
127.259819 73.335 95.8232
128.181992 73.755 95.3118
129.110855 74.158 94.6070
130.046448 74.537 93.7291
130.988815 74.886 92.7095
131.938019 75.203 91.5891
132.894089 75.487 90.4159
133.857101 75.740 89.2397
134.827087 75.966 88.1075
135.804108 76.171 87.0586
136.788193 76.362 86.1213
137.779419 76.547 85.3098
138.777832 76.732 84.6317
139.783478 76.925 84.0881
140.796402 77.132 83.6703
141.816666 77.359 83.3632
142.844330 77.610 83.1482
143.879440 77.887 83.0047
144.922043 78.192 82.9104
145.972214 78.523 82.8396
147.029984 78.877 82.7599
148.095428 79.250 82.6312
149.168594 79.634 82.4081
150.249527 80.022 82.0477
151.338303 80.402 81.5172
152.434967 80.768 80.8013
153.539566 81.109 79.9083
154.652176 81.421 78.8676
155.772842 81.701 77.7246
156.901642 81.950 76.5325
158.038620 82.173 75.3422
159.183838 82.375 74.1941
160.337357 82.565 73.1147
161.499222 82.748 72.1164
162.669510 82.932 71.2006
163.848282 83.121 70.3630
165.035599 83.319 69.5925
166.231522 83.527 68.8739
167.436096 83.747 68.1908
168.649414 83.977 67.5259
169.871521 84.217 66.8607
171.102478 84.465 66.1776
172.342361 84.716 65.4592
173.591232 84.968 64.6893
174.849152 85.217 63.8553
176.116180 85.460 62.9518
177.392395 85.695 61.9810
178.677856 85.919 60.9536
179.972626 86.132 59.8786
181.276779 86.335 58.7642
182.590393 86.526 57.6215
183.913513 86.706 56.4626
185.246231 86.875 55.2997
186.588608 87.034 54.1440
187.940704 87.183 53.0050
189.302597 87.325 51.8890
190.674362 87.459 50.7981
192.056061 87.587 49.7293
193.447784 87.708 48.6765
194.849594 87.821 47.6366
196.261551 87.922 46.6071
197.683746 88.010 45.5908
199.116241 88.083 44.6004
200.559113 88.140 43.6543
202.012451 88.184 42.7711
203.476318 88.218 41.9650
204.950790 88.247 41.2415
206.435944 88.274 40.5972
207.931870 88.302 40.0214
209.438629 88.334 39.4995
210.956314 88.369 39.0179
212.484985 88.405 38.5659
214.024734 88.442 38.1403
215.575653 88.478 37.7429
217.137802 88.513 37.3754
218.711273 88.547 37.0374
220.296143 88.580 36.7262
221.892502 88.611 36.4391
223.500427 88.641 36.1740
225.120010 88.668 35.9299
226.751328 88.691 35.7076
228.394455 88.711 35.5090
230.049500 88.726 35.3369
231.716537 88.735 35.1864
233.395645 88.740 35.0629
235.086929 88.740 34.9761
236.790466 88.734 34.9295
238.506348 88.724 34.9264
240.234665 88.710 34.9692
241.975510 88.692 35.0589
243.728958 88.670 35.1951
245.495117 88.644 35.3785
247.274078 88.614 35.6131
249.065933 88.580 35.9055
250.870773 88.543 36.2637
252.688690 88.503 36.6815
254.519775 88.462 37.1672
256.364136 88.424 37.7321
258.221863 88.388 38.3744
260.093048 88.357 39.0894
261.977783 88.333 39.8695
263.876190 88.316 40.7048
265.788361 88.307 41.5847
267.714386 88.305 42.4990
269.654358 88.310 43.4395
271.608398 88.322 44.3985
273.576599 88.339 45.3675
275.559052 88.360 46.3274
277.555878 88.383 47.2750
279.567169 88.405 48.2176
281.593018 88.425 49.1613
283.633545 88.439 50.1190
285.688873 88.446 51.1099
287.759094 88.446 52.1578
289.844330 88.441 53.2888
291.944672 88.434 54.5253
294.060211 88.431 55.8792
296.191101 88.438 57.3453
298.337433 88.460 58.9003
300.499298 88.501 60.5096
302.676849 88.562 62.1266
304.870178 88.641 63.7063
307.079407 88.733 65.2189
309.304626 88.832 66.6512
311.545990 88.935 68.0048
313.803589 89.037 69.2906
316.077545 89.138 70.5226
318.367981 89.234 71.7129
320.675018 89.327 72.8710
322.998749 89.415 74.0039
325.339325 89.499 75.1172
327.696869 89.576 76.2245
330.071503 89.648 77.3306
332.463348 89.713 78.4397
334.872528 89.772 79.5634
337.299164 89.826 80.7110
339.743378 89.878 81.8876
342.205292 89.928 83.0919
344.685059 89.980 84.3170
347.182800 90.033 85.5507
349.698639 90.087 86.7797
352.232697 90.140 87.9927
354.785126 90.190 89.1847
357.356049 90.233 90.3680
359.945587 90.268 91.5507
362.553894 90.292 92.7406
365.181122 90.305 93.9537
367.827362 90.308 95.2049
370.492798 90.301 96.5076
373.177551 90.286 97.8735
375.881744 90.265 99.3125
378.605530 90.240 100.8301
381.349060 90.214 102.4276
384.112488 90.188 104.1018
386.895935 90.165 105.8465
389.699554 90.146 107.6550
392.523468 90.133 109.5153
395.367859 90.127 111.4127
398.232849 90.126 113.3335
401.118622 90.129 115.2664
404.025299 90.136 117.2048
406.953033 90.143 119.1469
409.901978 90.150 121.0953
412.872284 90.154 123.0574
415.864136 90.155 125.0438
418.877655 90.154 127.0665
421.913025 90.151 129.1339
424.970367 90.150 131.2458
428.049866 90.152 133.3940
431.151703 90.158 135.5648
434.276001 90.167 137.7428
437.422943 90.178 139.9166
440.592682 90.188 142.0823
443.785400 90.194 144.2443
447.001251 90.195 146.4138
450.240417 90.190 148.6055
453.503052 90.179 150.8345
456.789307 90.162 153.1132
460.099396 90.142 155.4496
463.433472 90.121 157.8488
466.791687 90.100 160.3107
470.174255 90.081 162.8307
473.581329 90.065 165.4001
477.013092 90.052 168.0063
480.469727 90.042 170.6379
483.951416 90.031 173.2890
487.458313 90.019 175.9633
490.990631 90.004 178.6711
494.548553 89.987 -178.5760
498.132263 89.968 -175.7709
501.741943 89.949 -172.9119
505.377777 89.932 -169.9988
509.039948 89.918 -167.0370
512.728638 89.908 -164.0353
516.444092 89.902 -161.0019
520.186462 89.900 -157.9449
523.955933 89.902 -154.8705
527.752747 89.907 -151.7844
531.577087 89.915 -148.6917
535.429138 89.923 -145.5954
539.309082 89.930 -142.4951
543.217163 89.934 -139.3843
547.153564 89.935 -136.2526
551.118469 89.931 -133.0897
555.112122 89.923 -129.8828
