* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (2- UMM-6), MICROPHONE (Master Volume), R, volume: 0.320. Timing signal peak level -58.4 dBFS, measurement signal peak level -43.1 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026 6:53:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -2.7736 ms (-951 mm, -(3 ft 1.45 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -18.5 ppm
* Measurement: MID (1.9k)BW + TW (1.9k)LR
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 30.029297 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
30.029297 60.113 48.3061
30.246902 60.076 44.5338
30.466084 60.015 39.4717
30.686853 59.923 33.4896
30.909224 59.790 27.0080
31.133205 59.610 20.4416
31.358809 59.382 14.1534
31.586048 59.111 8.4337
31.814934 58.809 3.4985
32.045479 58.499 -0.5043
32.277695 58.210 -3.4983
32.511593 57.981 -5.4961
32.747185 57.851 -6.6265
32.984486 57.851 -7.1456
33.223503 57.995 -7.4061
33.464252 58.273 -7.7792
33.706749 58.657 -8.5637
33.951000 59.106 -9.9322
34.197021 59.583 -11.9300
34.444828 60.054 -14.5121
34.694431 60.494 -17.5752
34.945843 60.885 -20.9920
35.199074 61.215 -24.6358
35.454140 61.478 -28.3873
35.711056 61.669 -32.1391
35.969833 61.788 -35.7953
36.230484 61.834 -39.2712
36.493027 61.810 -42.4911
36.757469 61.718 -45.3855
37.023830 61.562 -47.8903
37.292122 61.346 -49.9457
37.562355 61.078 -51.5005
37.834549 60.766 -52.5080
38.108715 60.421 -52.9336
38.384865 60.057 -52.7658
38.663017 59.688 -52.0193
38.943184 59.330 -50.7356
39.225384 58.997 -48.9770
39.509628 58.702 -46.8114
39.795933 58.455 -44.2915
40.084309 58.265 -41.4367
40.374775 58.138 -38.2238
40.667347 58.083 -34.5966
40.962040 58.104 -30.4998
41.258869 58.205 -25.9484
41.557846 58.384 -21.1066
41.858990 58.628 -16.3319
42.162315 58.916 -12.1263
42.467842 59.221 -8.9862
42.775581 59.512 -7.2517
43.085552 59.759 -7.0567
43.397766 59.938 -8.3788
43.712246 60.034 -11.1299
44.029003 60.036 -15.2415
44.348057 59.941 -20.7378
44.669422 59.755 -27.8008
44.993114 59.487 -36.8368
45.319153 59.150 -48.4242
45.647552 58.763 -62.8836
45.978333 58.346 -79.3100
46.311512 57.919 -95.2288
46.647106 57.504 -108.3597
46.985130 57.114 -118.1515
47.325603 56.759 -125.1997
47.668545 56.443 -130.2701
48.013969 56.169 -133.9232
48.361900 55.939 -136.5004
48.712349 55.761 -138.2032
49.065338 55.646 -139.1544
49.420887 55.602 -139.4252
49.779011 55.633 -139.0213
50.139729 55.734 -137.8328
50.503063 55.893 -135.5694
50.869030 56.094 -131.6991
51.237648 56.319 -125.4094
51.608936 56.549 -115.5708
51.982918 56.767 -100.0922
52.359608 56.955 -68.8794
52.739025 57.101 14.0457
53.121193 57.198 55.9142
53.506130 57.238 68.8503
53.893856 57.218 74.3847
54.284393 57.135 76.9116
54.677761 56.989 78.0376
55.073978 56.779 78.5682
55.473068 56.511 78.9366
55.875050 56.195 79.3356
56.279942 55.844 79.7820
56.687771 55.473 80.1745
57.098553 55.094 80.3559
57.512314 54.720 80.1623
57.929073 54.363 79.4524
58.348850 54.035 78.0534
58.771671 53.747 75.7183
59.197556 53.512 72.0628
59.626526 53.334 66.4548
60.058605 53.212 57.9710
60.493816 53.138 45.8997
60.932178 53.102 31.7293
61.373718 53.096 20.4366
61.818459 53.118 16.0139
62.266422 53.172 17.8949
62.717632 53.260 23.1114
63.172112 53.385 29.0151
63.629883 53.538 34.2640
64.090973 53.705 38.5298
64.555405 53.864 41.9562
65.023201 53.995 44.8378
65.494385 54.080 47.4952
65.968987 54.110 50.2184
66.447021 54.086 53.2334
66.928520 54.016 56.6887
67.413513 53.913 60.6655
67.902016 53.789 65.2019
68.394058 53.659 70.3145
68.889671 53.535 76.0119
69.388878 53.429 82.2773
69.891701 53.352 89.0528
70.398163 53.314 96.2113
70.908295 53.325 103.5233
71.422127 53.387 110.6734
71.939682 53.503 117.3355
72.460983 53.666 123.2552
72.986069 53.870 128.2739
73.514954 54.104 132.2927
74.047676 54.356 135.2327
74.584259 54.610 137.0288
75.124725 54.850 137.6533
75.669113 55.062 137.1689
76.217445 55.236 135.7367
76.769745 55.372 133.5910
77.326050 55.481 131.0103
77.886383 55.577 128.2811
78.450783 55.681 125.6658
79.019272 55.812 123.3765
79.591881 55.985 121.5496
80.168640 56.209 120.2263
80.749573 56.488 119.3496
81.334717 56.812 118.7919
81.924103 57.168 118.4005
82.517761 57.534 118.0504
83.115723 57.892 117.6667
83.718010 58.225 117.2225
84.324669 58.522 116.7278
84.935722 58.777 116.2140
85.551201 58.989 115.7184
86.171143 59.162 115.2728
86.795578 59.304 114.8959
87.424538 59.420 114.5922
88.058052 59.520 114.3560
88.696159 59.609 114.1796
89.338890 59.695 114.0516
89.986275 59.784 113.9739
90.638351 59.884 113.9482
91.295151 60.003 113.9608
91.956711 60.146 113.9893
92.623070 60.316 114.0091
93.294258 60.513 114.0012
93.970306 60.735 113.9553
94.651253 60.981 113.8697
95.337135 61.249 113.7479
96.027985 61.538 113.5934
96.723846 61.846 113.4054
97.424744 62.172 113.1748
98.130722 62.515 112.8950
98.841820 62.872 112.5636
99.558067 63.244 112.1819
100.279503 63.628 111.7535
101.006172 64.026 111.2782
101.738106 64.437 110.7458
102.475342 64.857 110.1365
103.217918 65.281 109.4255
103.965881 65.702 108.5917
104.719261 66.111 107.6245
105.478104 66.501 106.5288
106.242439 66.865 105.3132
107.012314 67.198 104.0086
107.787766 67.500 102.6560
108.568840 67.768 101.2896
109.355576 68.005 99.9437
110.148010 68.214 98.6517
110.946190 68.398 97.4477
111.750153 68.560 96.3659
112.559937 68.708 95.4395
113.375595 68.847 94.6981
114.197159 68.984 94.1632
115.024681 69.127 93.8433
115.858200 69.281 93.7193
116.697754 69.454 93.7702
117.543396 69.647 93.9680
118.395164 69.863 94.2711
119.253105 70.105 94.6377
120.117264 70.372 95.0279
120.987686 70.665 95.4045
121.864410 70.983 95.7327
122.747490 71.325 95.9820
123.636971 71.689 96.1273
124.532898 72.071 96.1493
125.435318 72.469 96.0329
126.344276 72.875 95.7642
127.259819 73.286 95.3331
128.181992 73.692 94.7347
129.110855 74.086 93.9723
130.046448 74.460 93.0622
130.988815 74.808 92.0354
131.938019 75.127 90.9345
132.894089 75.413 89.8080
133.857101 75.669 88.7038
134.827087 75.898 87.6630
135.804108 76.107 86.7169
136.788193 76.301 85.8864
137.779419 76.489 85.1796
138.777832 76.679 84.6009
139.783478 76.879 84.1497
140.796402 77.095 83.8167
141.816666 77.333 83.5871
142.844330 77.595 83.4416
143.879440 77.884 83.3570
144.922043 78.198 83.3066
145.972214 78.537 83.2588
147.029984 78.898 83.1764
148.095428 79.274 83.0170
149.168594 79.661 82.7375
150.249527 80.048 82.3013
151.338303 80.428 81.6838
152.434967 80.791 80.8790
153.539566 81.130 79.9026
154.652176 81.438 78.7898
155.772842 81.716 77.5892
156.901642 81.963 76.3539
158.038620 82.185 75.1328
159.183838 82.388 73.9628
160.337357 82.579 72.8670
161.499222 82.766 71.8553
162.669510 82.953 70.9282
163.848282 83.145 70.0815
165.035599 83.345 69.3049
166.231522 83.555 68.5848
167.436096 83.775 67.9069
168.649414 84.004 67.2552
169.871521 84.242 66.6121
171.102478 84.488 65.9589
172.342361 84.737 65.2761
173.591232 84.988 64.5445
174.849152 85.236 63.7484
176.116180 85.479 62.8798
177.392395 85.713 61.9396
178.677856 85.937 60.9384
179.972626 86.150 59.8852
181.276779 86.352 58.7883
182.590393 86.543 57.6592
183.913513 86.721 56.5100
185.246231 86.889 55.3530
186.588608 87.047 54.1994
187.940704 87.196 53.0586
189.302597 87.336 51.9371
190.674362 87.470 50.8368
192.056061 87.597 49.7550
193.447784 87.717 48.6863
194.849594 87.829 47.6289
196.261551 87.930 46.5813
197.683746 88.018 45.5476
199.116241 88.091 44.5417
200.559113 88.149 43.5829
202.012451 88.195 42.6904
203.476318 88.230 41.8786
204.950790 88.260 41.1527
206.435944 88.288 40.5085
207.931870 88.317 39.9344
209.438629 88.347 39.4150
210.956314 88.380 38.9360
212.484985 88.414 38.4862
214.024734 88.448 38.0626
215.575653 88.481 37.6666
217.137802 88.513 37.2995
218.711273 88.544 36.9604
220.296143 88.574 36.6465
221.892502 88.603 36.3547
223.500427 88.631 36.0832
225.120010 88.656 35.8317
226.751328 88.679 35.6010
228.394455 88.697 35.3936
230.049500 88.711 35.2126
231.716537 88.720 35.0527
233.395645 88.724 34.9198
235.086929 88.723 34.8237
236.790466 88.717 34.7678
238.506348 88.706 34.7560
240.234665 88.690 34.7910
241.975510 88.672 34.8740
243.728958 88.649 35.0055
245.495117 88.623 35.1870
247.274078 88.593 35.4229
249.065933 88.559 35.7204
250.870773 88.521 36.0877
252.688690 88.481 36.5183
254.519775 88.440 37.0202
256.364136 88.400 37.6044
258.221863 88.362 38.2684
260.093048 88.330 39.0072
261.977783 88.303 39.8125
263.876190 88.284 40.6739
265.788361 88.272 41.5799
267.714386 88.268 42.5201
269.654358 88.271 43.4859
271.608398 88.281 44.4694
273.576599 88.297 45.4619
275.559052 88.318 46.4440
277.555878 88.341 47.4125
279.567169 88.364 48.3741
281.593018 88.385 49.3347
283.633545 88.401 50.3071
285.688873 88.410 51.3107
287.759094 88.413 52.3699
289.844330 88.411 53.5114
291.944672 88.407 54.7584
294.060211 88.407 56.1233
296.191101 88.417 57.6012
298.337433 88.443 59.1683
300.499298 88.488 60.7896
302.676849 88.553 62.4179
304.870178 88.635 64.0076
307.079407 88.731 65.5284
309.304626 88.835 66.9667
311.545990 88.941 68.3238
313.803589 89.048 69.6105
316.077545 89.152 70.8409
318.367981 89.252 72.0277
320.675018 89.347 73.1808
322.998749 89.438 74.3076
325.339325 89.524 75.4141
327.696869 89.603 76.5136
330.071503 89.676 77.6112
332.463348 89.742 78.7110
334.872528 89.802 79.8243
337.299164 89.858 80.9604
339.743378 89.911 82.1241
342.205292 89.963 83.3143
344.685059 90.015 84.5239
347.182800 90.070 85.7410
349.698639 90.124 86.9520
352.232697 90.178 88.1463
354.785126 90.228 89.3186
357.356049 90.270 90.4810
359.945587 90.304 91.6413
362.553894 90.327 92.8073
365.181122 90.338 93.9947
367.827362 90.339 95.2185
370.492798 90.330 96.4925
373.177551 90.312 97.8292
375.881744 90.287 99.2388
378.605530 90.258 100.7280
381.349060 90.227 102.2988
384.112488 90.196 103.9489
386.895935 90.168 105.6727
389.699554 90.145 107.4641
392.523468 90.127 109.3115
395.367859 90.116 111.2003
398.232849 90.111 113.1170
401.118622 90.110 115.0503
404.025299 90.112 116.9935
406.953033 90.116 118.9448
409.901978 90.118 120.9064
412.872284 90.118 122.8852
415.864136 90.116 124.8918
418.877655 90.111 126.9381
421.913025 90.105 129.0322
424.970367 90.101 131.1736
428.049866 90.100 133.3538
431.151703 90.104 135.5582
434.276001 90.111 137.7708
437.422943 90.121 139.9798
440.592682 90.131 142.1808
443.785400 90.138 144.3784
447.001251 90.141 146.5836
450.240417 90.138 148.8109
453.503052 90.129 151.0751
456.789307 90.117 153.3881
460.099396 90.102 155.7575
463.433472 90.086 158.1876
466.791687 90.071 160.6778
470.174255 90.059 163.2225
473.581329 90.051 165.8121
477.013092 90.047 168.4330
480.469727 90.046 171.0725
483.951416 90.044 173.7245
487.458313 90.042 176.3918
490.990631 90.036 179.0844
494.548553 90.028 -178.1868
498.132263 90.018 -175.4150
501.741943 90.007 -172.5987
505.377777 89.997 -169.7377
509.039948 89.989 -166.8365
512.728638 89.982 -163.9023
516.444092 89.978 -160.9413
520.186462 89.976 -157.9589
523.955933 89.976 -154.9585
527.752747 89.976 -151.9424
531.577087 89.976 -148.9126
535.429138 89.975 -145.8699
539.309082 89.972 -142.8113
543.217163 89.964 -139.7293
547.153564 89.952 -136.6126
