* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (2- UMM-6), MICROPHONE (Master Volume), R, volume: 0.320. Timing signal peak level -58.7 dBFS, measurement signal peak level -43.5 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026 6:43:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -2.7740 ms (-951 mm, -(3 ft 1.46 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -18.4 ppm
* Measurement: MID (2k) + TW (853) BW
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 30.029297 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
30.029297 56.410 12.5944
30.246902 56.702 8.4350
30.466084 57.051 3.1813
30.686853 57.416 -2.7819
30.909224 57.761 -9.1451
31.133205 58.061 -15.6854
31.358809 58.300 -22.2456
31.586048 58.469 -28.7029
31.814934 58.563 -34.9406
32.045479 58.586 -40.8263
32.277695 58.546 -46.1962
32.511593 58.458 -50.8430
32.747185 58.341 -54.5120
32.984486 58.225 -56.9168
33.223503 58.141 -57.7989
33.464252 58.122 -57.0634
33.706749 58.194 -54.9722
33.951000 58.370 -52.2403
34.197021 58.645 -49.8210
34.444828 58.998 -48.4800
34.694431 59.398 -48.5339
34.945843 59.811 -49.9217
35.199074 60.208 -52.4006
35.454140 60.563 -55.6848
35.711056 60.859 -59.5107
35.969833 61.082 -63.6520
36.230484 61.223 -67.9169
36.493027 61.278 -72.1366
36.757469 61.244 -76.1540
37.023830 61.124 -79.8137
37.292122 60.923 -82.9538
37.562355 60.650 -85.4067
37.834549 60.318 -86.9981
38.108715 59.947 -87.5745
38.384865 59.558 -87.0578
38.663017 59.173 -85.5160
38.943184 58.812 -83.2219
39.225384 58.488 -80.6310
39.509628 58.203 -78.2484
39.795933 57.951 -76.4586
40.084309 57.722 -75.4414
40.374775 57.508 -75.2110
40.667347 57.305 -75.7360
40.962040 57.118 -77.0946
41.258869 56.956 -79.6779
41.557846 56.833 -84.4541
41.858990 56.759 -93.2500
42.162315 56.745 -108.4460
42.467842 56.793 -129.8914
42.775581 56.906 -151.2429
43.085552 57.082 -167.0284
43.397766 57.315 -177.6323
43.712246 57.598 174.9722
44.029003 57.919 169.4012
44.348057 58.263 164.8615
44.669422 58.612 160.8916
44.993114 58.941 157.1966
45.319153 59.228 153.5835
45.647552 59.451 149.9399
45.978333 59.592 146.2151
46.311512 59.640 142.4031
46.647106 59.593 138.5222
46.985130 59.457 134.5919
47.325603 59.248 130.6138
47.668545 58.987 126.5596
48.013969 58.697 122.3718
48.361900 58.403 117.9789
48.712349 58.128 113.3207
49.065338 57.890 108.3898
49.420887 57.703 103.2854
49.779011 57.576 98.3393
50.139729 57.516 94.6008
50.503063 57.520 96.9899
50.869030 57.580 163.1623
51.237648 57.681 -139.2197
51.608936 57.805 -138.3777
51.982918 57.930 -143.4337
52.359608 58.039 -149.8528
52.739025 58.120 -156.4890
53.121193 58.167 -162.8321
53.506130 58.180 -168.6419
53.893856 58.166 -173.8500
54.284393 58.130 -178.5137
54.677761 58.077 177.2013
55.073978 58.003 173.0854
55.473068 57.899 168.9656
55.875050 57.751 164.7683
56.279942 57.544 160.5392
56.687771 57.265 156.4255
57.098553 56.907 152.6363
57.512314 56.469 149.3993
57.929073 55.958 146.9358
58.348850 55.382 145.4077
58.771671 54.755 144.9345
59.197556 54.092 145.6401
59.626526 53.408 147.6590
60.058605 52.723 151.0834
60.493816 52.055 155.8138
60.932178 51.426 161.3974
61.373718 50.855 167.0552
61.818459 50.356 171.9771
62.266422 49.934 175.6300
62.717632 49.582 177.8094
63.172112 49.292 178.4811
63.629883 49.052 177.5030
64.090973 48.859 174.2695
64.555405 48.720 166.8137
65.023201 48.645 148.6646
65.494385 48.645 106.5291
65.968987 48.724 66.6174
66.447021 48.876 50.7063
66.928520 49.085 45.2739
67.413513 49.335 44.3957
67.902016 49.611 46.1843
68.394058 49.900 49.8901
68.889671 50.198 55.0345
69.388878 50.498 61.0950
69.891701 50.794 67.4643
70.398163 51.080 73.5876
70.908295 51.345 79.1260
71.422127 51.585 84.0221
71.939682 51.798 88.4403
72.460983 51.995 92.6544
72.986069 52.190 96.9349
73.514954 52.401 101.4491
74.047676 52.640 106.1768
74.584259 52.910 110.8708
75.124725 53.205 115.1156
75.669113 53.507 118.5204
76.217445 53.798 120.8956
76.769745 54.060 122.3060
77.326050 54.284 123.0071
77.886383 54.471 123.3170
78.450783 54.631 123.5019
79.019272 54.777 123.7125
79.591881 54.927 123.9765
80.168640 55.088 124.2353
80.749573 55.264 124.3958
81.334717 55.448 124.3727
81.924103 55.632 124.1129
82.517761 55.804 123.6140
83.115723 55.958 122.9207
83.718010 56.092 122.1052
84.324669 56.212 121.2439
84.935722 56.326 120.3954
85.551201 56.443 119.5921
86.171143 56.567 118.8453
86.795578 56.703 118.1537
87.424538 56.849 117.5081
88.058052 57.006 116.8922
88.696159 57.175 116.2841
89.338890 57.359 115.6541
89.986275 57.562 114.9846
90.638351 57.793 114.2665
91.295151 58.057 113.4954
91.956711 58.360 112.6871
92.623070 58.703 111.8834
93.294258 59.086 111.1466
93.970306 59.504 110.5431
94.651253 59.953 110.1248
95.337135 60.425 109.9165
96.027985 60.912 109.9135
96.723846 61.406 110.0870
97.424744 61.900 110.3886
98.130722 62.390 110.7625
98.841820 62.874 111.1457
99.558067 63.350 111.4686
100.279503 63.818 111.6654
101.006172 64.276 111.6848
101.738106 64.722 111.4976
102.475342 65.154 111.0974
103.217918 65.571 110.4937
103.965881 65.970 109.7043
104.719261 66.348 108.7502
105.478104 66.702 107.6527
106.242439 67.027 106.4253
107.012314 67.320 105.0979
107.787766 67.578 103.7085
108.568840 67.801 102.2902
109.355576 67.990 100.8772
110.148010 68.149 99.5050
110.946190 68.283 98.2108
111.750153 68.398 97.0315
112.559937 68.501 96.0015
113.375595 68.602 95.1501
114.197159 68.708 94.4991
115.024681 68.829 94.0596
115.858200 68.972 93.8187
116.697754 69.144 93.7617
117.543396 69.349 93.8667
118.395164 69.590 94.0960
119.253105 69.866 94.4105
120.117264 70.174 94.7721
120.987686 70.513 95.1440
121.864410 70.877 95.4901
122.747490 71.264 95.7755
123.636971 71.669 95.9675
124.532898 72.088 96.0358
125.435318 72.516 95.9526
126.344276 72.947 95.6924
127.259819 73.375 95.2371
128.181992 73.794 94.5794
129.110855 74.196 93.7249
130.046448 74.574 92.6950
130.988815 74.922 91.5268
131.938019 75.237 90.2692
132.894089 75.518 88.9766
133.857101 75.768 87.7027
134.827087 75.991 86.4953
135.804108 76.193 85.3930
136.788193 76.380 84.4245
137.779419 76.561 83.6044
138.777832 76.744 82.9414
139.783478 76.934 82.4355
140.796402 77.139 82.0756
141.816666 77.364 81.8429
142.844330 77.611 81.7137
143.879440 77.885 81.6604
144.922043 78.185 81.6533
145.972214 78.510 81.6594
147.029984 78.859 81.6418
148.095428 79.227 81.5587
149.168594 79.606 81.3664
150.249527 79.988 81.0256
151.338303 80.362 80.5073
152.434967 80.721 79.7993
153.539566 81.055 78.9117
154.652176 81.358 77.8748
155.772842 81.630 76.7346
156.901642 81.872 75.5445
158.038620 82.087 74.3561
159.183838 82.284 73.2109
160.337357 82.470 72.1357
161.499222 82.651 71.1440
162.669510 82.833 70.2377
163.848282 83.021 69.4134
165.035599 83.218 68.6601
166.231522 83.426 67.9630
167.436096 83.645 67.3059
168.649414 83.875 66.6713
169.871521 84.116 66.0399
171.102478 84.364 65.3925
172.342361 84.619 64.7102
173.591232 84.875 63.9756
174.849152 85.130 63.1758
176.116180 85.380 62.3057
177.392395 85.622 61.3690
178.677856 85.854 60.3782
179.972626 86.076 59.3438
181.276779 86.286 58.2743
182.590393 86.484 57.1807
183.913513 86.671 56.0734
185.246231 86.847 54.9619
186.588608 87.011 53.8537
187.940704 87.167 52.7548
189.302597 87.315 51.6686
190.674362 87.456 50.5948
192.056061 87.591 49.5294
193.447784 87.719 48.4665
194.849594 87.839 47.4036
196.261551 87.948 46.3394
197.683746 88.043 45.2777
199.116241 88.124 44.2327
200.559113 88.188 43.2242
202.012451 88.238 42.2727
203.476318 88.276 41.3940
204.950790 88.307 40.5957
206.435944 88.334 39.8764
207.931870 88.360 39.2270
209.438629 88.386 38.6348
210.956314 88.412 38.0881
212.484985 88.438 37.5784
214.024734 88.461 37.1054
215.575653 88.481 36.6732
217.137802 88.499 36.2852
218.711273 88.515 35.9418
220.296143 88.530 35.6400
221.892502 88.545 35.3750
223.500427 88.559 35.1418
225.120010 88.572 34.9361
226.751328 88.583 34.7549
228.394455 88.591 34.5975
230.049500 88.596 34.4657
231.716537 88.596 34.3550
233.395645 88.591 34.2737
235.086929 88.582 34.2347
236.790466 88.568 34.2452
238.506348 88.550 34.3113
240.234665 88.529 34.4374
241.975510 88.505 34.6251
243.728958 88.480 34.8738
245.495117 88.454 35.1831
247.274078 88.427 35.5544
249.065933 88.400 35.9909
250.870773 88.373 36.4964
252.688690 88.348 37.0596
254.519775 88.327 37.6830
256.364136 88.311 38.3713
258.221863 88.302 39.1161
260.093048 88.301 39.9067
261.977783 88.308 40.7308
263.876190 88.324 41.5759
265.788361 88.346 42.4313
267.714386 88.375 43.2890
269.654358 88.407 44.1444
271.608398 88.443 44.9943
273.576599 88.480 45.8350
275.559052 88.517 46.6525
277.555878 88.551 47.4491
279.567169 88.581 48.2372
281.593018 88.603 49.0273
283.633545 88.617 49.8361
285.688873 88.621 50.6850
287.759094 88.615 51.5998
289.844330 88.603 52.6071
291.944672 88.587 53.7297
294.060211 88.574 54.9789
296.191101 88.569 56.3494
298.337433 88.579 57.8174
300.499298 88.607 59.3491
302.676849 88.655 60.8988
304.870178 88.719 62.4233
307.079407 88.797 63.8944
309.304626 88.882 65.2994
311.545990 88.972 66.6397
313.803589 89.062 67.9247
316.077545 89.150 69.1663
318.367981 89.237 70.3747
320.675018 89.320 71.5573
322.998749 89.400 72.7193
325.339325 89.476 73.8647
327.696869 89.548 75.0057
330.071503 89.614 76.1459
332.463348 89.676 77.2885
334.872528 89.732 78.4441
337.299164 89.785 79.6215
339.743378 89.835 80.8252
342.205292 89.885 82.0540
344.685059 89.936 83.3008
347.182800 89.989 84.5541
349.698639 90.043 85.8009
352.232697 90.096 87.0303
354.785126 90.146 88.2373
357.356049 90.190 89.4329
359.945587 90.225 90.6240
362.553894 90.251 91.8172
365.181122 90.265 93.0279
367.827362 90.270 94.2715
370.492798 90.264 95.5628
373.177551 90.249 96.9162
375.881744 90.227 98.3435
378.605530 90.201 99.8527
381.349060 90.174 101.4461
384.112488 90.148 103.1203
386.895935 90.126 104.8672
389.699554 90.110 106.6773
392.523468 90.101 108.5352
395.367859 90.099 110.4227
398.232849 90.103 112.3240
401.118622 90.112 114.2274
404.025299 90.122 116.1277
406.953033 90.132 118.0255
409.901978 90.139 119.9263
412.872284 90.142 121.8399
415.864136 90.141 123.7792
418.877655 90.134 125.7577
421.913025 90.125 127.7850
424.970367 90.116 129.8624
428.049866 90.107 131.9840
431.151703 90.101 134.1385
434.276001 90.098 136.3138
437.422943 90.096 138.5013
440.592682 90.093 140.6992
443.785400 90.088 142.9123
447.001251 90.080 145.1506
450.240417 90.069 147.4261
453.503052 90.056 149.7497
456.789307 90.041 152.1288
460.099396 90.027 154.5665
463.433472 90.015 157.0624
466.791687 90.006 159.6118
470.174255 90.003 162.2061
473.581329 90.006 164.8327
477.013092 90.014 167.4756
480.469727 90.026 170.1193
483.951416 90.039 172.7550
487.458313 90.050 175.3835
490.990631 90.058 178.0137
494.548553 90.062 -179.3428
498.132263 90.061 -176.6771
501.741943 90.057 -173.9836
505.377777 90.050 -171.2565
509.039948 90.040 -168.4939
512.728638 90.027 -165.6961
516.444092 90.012 -162.8626
520.186462 89.995 -159.9925
523.955933 89.977 -157.0837
527.752747 89.957 -154.1343
531.577087 89.936 -151.1432
535.429138 89.913 -148.1101
539.309082 89.890 -145.0336
543.217163 89.864 -141.9094
547.153564 89.838 -138.7309
551.118469 89.811 -135.4934
