* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (2- UMM-6), MICROPHONE (Master Volume), R, volume: 0.320. Timing signal peak level -59.3 dBFS, measurement signal peak level -43.3 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026 6:18:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -2.9126 ms (-999 mm, -(3 ft 3.33 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -18.2 ppm
* Measurement: MID (672) - TW (717)
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 30.029297 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
30.029297 62.411 -66.5750
30.246902 62.210 -65.8678
30.466084 61.937 -64.8050
30.686853 61.602 -63.1605
30.909224 61.222 -60.6524
31.133205 60.820 -56.9640
31.358809 60.425 -51.7814
31.586048 60.067 -44.8584
31.814934 59.775 -36.0982
32.045479 59.574 -25.6161
32.277695 59.480 -13.7514
32.511593 59.499 -1.0600
32.747185 59.628 11.6670
32.984486 59.857 23.4703
33.223503 60.166 33.4986
33.464252 60.530 41.3088
33.706749 60.918 46.9112
33.951000 61.298 50.5978
34.197021 61.643 52.7566
34.444828 61.930 53.7583
34.694431 62.142 53.9237
34.945843 62.271 53.5136
35.199074 62.311 52.7287
35.454140 62.264 51.7200
35.711056 62.136 50.5955
35.969833 61.934 49.4263
36.230484 61.667 48.2528
36.493027 61.349 47.0925
36.757469 60.989 45.9516
37.023830 60.603 44.8365
37.292122 60.207 43.7689
37.562355 59.821 42.7968
37.834549 59.476 42.0208
38.108715 59.207 41.6254
38.384865 59.056 41.9656
38.663017 59.057 43.8811
38.943184 59.229 50.1344
39.225384 59.564 76.0349
39.509628 60.030 156.2800
39.795933 60.585 -177.6862
40.084309 61.181 -172.3611
40.374775 61.775 -172.0131
40.667347 62.333 -173.8402
40.962040 62.827 -176.9783
41.258869 63.237 178.9807
41.557846 63.549 174.3130
41.858990 63.753 169.2593
42.162315 63.845 164.0573
42.467842 63.824 158.9599
42.775581 63.692 154.2516
43.085552 63.458 150.2706
43.397766 63.130 147.4423
43.712246 62.720 146.3437
44.029003 62.242 147.8367
44.348057 61.713 153.3617
44.669422 61.148 165.4732
44.993114 60.564 -172.6141
45.319153 59.979 -143.9993
45.647552 59.409 -120.8892
45.978333 58.864 -106.9388
46.311512 58.351 -98.8482
46.647106 57.869 -93.7681
46.985130 57.411 -89.9167
47.325603 56.970 -86.0319
47.668545 56.542 -81.0988
48.013969 56.132 -74.3917
48.361900 55.753 -65.8244
48.712349 55.425 -56.3267
49.065338 55.173 -47.4980
49.420887 55.021 -40.5702
49.779011 54.983 -35.8940
50.139729 55.060 -33.2480
50.503063 55.238 -32.2586
50.869030 55.489 -32.5831
51.237648 55.780 -33.9311
51.608936 56.076 -36.0373
51.982918 56.351 -38.6387
52.359608 56.586 -41.4662
52.739025 56.772 -44.2442
53.121193 56.913 -46.6688
53.506130 57.020 -48.4384
53.893856 57.111 -49.2035
54.284393 57.209 -48.4727
54.677761 57.342 -45.5072
55.073978 57.530 -39.1557
55.473068 57.792 -27.8602
55.875050 58.130 -10.7925
56.279942 58.536 9.2316
56.687771 58.991 26.6282
57.098553 59.467 38.9924
57.512314 59.935 47.2064
57.929073 60.367 52.6584
58.348850 60.735 56.3246
58.771671 61.016 58.8566
59.197556 61.191 60.7731
59.626526 61.247 62.5568
60.058605 61.181 64.7082
60.493816 60.996 67.7720
60.932178 60.705 72.3492
61.373718 60.325 79.0795
61.818459 59.878 88.5270
62.266422 59.384 100.8433
62.717632 58.865 115.2090
63.172112 58.343 129.7159
63.629883 57.833 142.3503
64.090973 57.346 152.1199
64.555405 56.886 159.0554
65.023201 56.445 163.6265
65.494385 56.015 166.3593
65.968987 55.589 167.7037
66.447021 55.166 168.0135
66.928520 54.758 167.5602
67.413513 54.382 166.5540
67.902016 54.064 165.1649
68.394058 53.825 163.5349
68.889671 53.675 161.7833
69.388878 53.609 159.9873
69.891701 53.607 158.1940
70.398163 53.641 156.4514
70.908295 53.682 154.8240
71.422127 53.712 153.3885
71.939682 53.721 152.2116
72.460983 53.714 151.3265
72.986069 53.700 150.7215
73.514954 53.694 150.3396
74.047676 53.710 150.0829
74.584259 53.757 149.8221
75.124725 53.836 149.4110
75.669113 53.940 148.7416
76.217445 54.055 147.7749
76.769745 54.162 146.5469
77.326050 54.248 145.1595
77.886383 54.304 143.7469
78.450783 54.328 142.4360
79.019272 54.328 141.3159
79.591881 54.317 140.4180
80.168640 54.309 139.7108
80.749573 54.322 139.1073
81.334717 54.368 138.4827
81.924103 54.454 137.6963
82.517761 54.583 136.6257
83.115723 54.753 135.1857
83.718010 54.958 133.3367
84.324669 55.190 131.0930
84.935722 55.438 128.5322
85.551201 55.696 125.7963
86.171143 55.958 123.0721
86.795578 56.227 120.5464
87.424538 56.509 118.3582
88.058052 56.810 116.5751
88.696159 57.138 115.1970
89.338890 57.494 114.1674
89.986275 57.877 113.4137
90.638351 58.281 112.8606
91.295151 58.698 112.4357
91.956711 59.121 112.0838
92.623070 59.540 111.7716
93.294258 59.949 111.4880
93.970306 60.344 111.2418
94.651253 60.724 111.0556
95.337135 61.091 110.9541
96.027985 61.450 110.9539
96.723846 61.808 111.0551
97.424744 62.170 111.2353
98.130722 62.542 111.4592
98.841820 62.928 111.6809
99.558067 63.327 111.8478
100.279503 63.739 111.9116
101.006172 64.160 111.8348
101.738106 64.586 111.5926
102.475342 65.013 111.1696
103.217918 65.435 110.5560
103.965881 65.848 109.7480
104.719261 66.245 108.7494
105.478104 66.620 107.5747
106.242439 66.969 106.2399
107.012314 67.288 104.7831
107.787766 67.575 103.2532
108.568840 67.828 101.6946
109.355576 68.050 100.1531
110.148010 68.241 98.6738
110.946190 68.405 97.2994
111.750153 68.548 96.0663
112.559937 68.676 95.0017
113.375595 68.798 94.1230
114.197159 68.922 93.4373
115.024681 69.057 92.9417
115.858200 69.210 92.6138
116.697754 69.387 92.4389
117.543396 69.593 92.4047
118.395164 69.830 92.4910
119.253105 70.098 92.6774
120.117264 70.396 92.9406
120.987686 70.722 93.2505
121.864410 71.075 93.5709
122.747490 71.450 93.8628
123.636971 71.843 94.0882
124.532898 72.250 94.2129
125.435318 72.665 94.2065
126.344276 73.084 94.0409
127.259819 73.501 93.6954
128.181992 73.908 93.1591
129.110855 74.298 92.4330
130.046448 74.665 91.5353
130.988815 75.001 90.5004
131.938019 75.304 89.3760
132.894089 75.572 88.2169
133.857101 75.807 87.0767
134.827087 76.015 86.0020
135.804108 76.201 85.0281
136.788193 76.372 84.1786
137.779419 76.538 83.4622
138.777832 76.706 82.8820
139.783478 76.886 82.4343
140.796402 77.083 82.1051
141.816666 77.304 81.8751
142.844330 77.551 81.7208
143.879440 77.827 81.6174
144.922043 78.131 81.5396
145.972214 78.461 81.4598
147.029984 78.812 81.3463
148.095428 79.181 81.1625
149.168594 79.559 80.8693
150.249527 79.939 80.4321
151.338303 80.311 79.8260
152.434967 80.667 79.0428
153.539566 80.999 78.0955
154.652176 81.302 77.0165
155.772842 81.575 75.8523
156.901642 81.818 74.6548
158.038620 82.037 73.4722
159.183838 82.238 72.3417
160.337357 82.429 71.2860
161.499222 82.615 70.3147
162.669510 82.802 69.4271
163.848282 82.994 68.6174
165.035599 83.195 67.8738
166.231522 83.406 67.1804
167.436096 83.628 66.5214
168.649414 83.860 65.8794
169.871521 84.102 65.2371
171.102478 84.351 64.5773
172.342361 84.606 63.8835
173.591232 84.861 63.1409
174.849152 85.115 62.3377
176.116180 85.364 61.4695
177.392395 85.605 60.5389
178.677856 85.836 59.5566
179.972626 86.057 58.5306
181.276779 86.266 57.4667
182.590393 86.465 56.3743
183.913513 86.653 55.2628
185.246231 86.830 54.1425
186.588608 86.997 53.0225
187.940704 87.155 51.9108
189.302597 87.305 50.8124
190.674362 87.449 49.7283
192.056061 87.586 48.6552
193.447784 87.715 47.5869
194.849594 87.836 46.5211
196.261551 87.945 45.4562
197.683746 88.041 44.3962
199.116241 88.120 43.3549
200.559113 88.183 42.3519
202.012451 88.232 41.4068
203.476318 88.269 40.5349
204.950790 88.299 39.7433
206.435944 88.324 39.0304
207.931870 88.349 38.3876
209.438629 88.373 37.8031
210.956314 88.397 37.2660
212.484985 88.421 36.7683
214.024734 88.443 36.3090
215.575653 88.462 35.8915
217.137802 88.480 35.5178
218.711273 88.497 35.1873
220.296143 88.514 34.8964
221.892502 88.532 34.6400
223.500427 88.549 34.4131
225.120010 88.567 34.2120
226.751328 88.582 34.0343
228.394455 88.596 33.8799
230.049500 88.605 33.7510
231.716537 88.611 33.6432
233.395645 88.611 33.5645
235.086929 88.606 33.5272
236.790466 88.596 33.5375
238.506348 88.582 33.6003
240.234665 88.565 33.7189
241.975510 88.545 33.8934
243.728958 88.525 34.1220
245.495117 88.504 34.4036
247.274078 88.482 34.7391
249.065933 88.460 35.1323
250.870773 88.438 35.5876
252.688690 88.418 36.0947
254.519775 88.401 36.6573
256.364136 88.388 37.2817
258.221863 88.381 37.9608
260.093048 88.381 38.6853
261.977783 88.387 39.4443
263.876190 88.400 40.2269
265.788361 88.419 41.0231
267.714386 88.442 41.8262
269.654358 88.467 42.6324
271.608398 88.495 43.4395
273.576599 88.524 44.2441
275.559052 88.552 45.0327
277.555878 88.578 45.8072
279.567169 88.599 46.5786
281.593018 88.614 47.3566
283.633545 88.621 48.1567
285.688873 88.618 48.9996
287.759094 88.607 49.9103
289.844330 88.587 50.9152
291.944672 88.565 52.0370
294.060211 88.544 53.2880
296.191101 88.532 54.6635
298.337433 88.535 56.1412
300.499298 88.556 57.6892
302.676849 88.595 59.2632
304.870178 88.653 60.8209
307.079407 88.723 62.3343
309.304626 88.803 63.7906
311.545990 88.887 65.1906
313.803589 88.973 66.5428
316.077545 89.060 67.8588
318.367981 89.147 69.1472
320.675018 89.232 70.4136
322.998749 89.317 71.6605
325.339325 89.401 72.8890
327.696869 89.483 74.1079
330.071503 89.563 75.3173
332.463348 89.640 76.5168
334.872528 89.713 77.7139
337.299164 89.785 78.9136
339.743378 89.856 80.1179
342.205292 89.928 81.3237
344.685059 90.000 82.5240
347.182800 90.072 83.7092
349.698639 90.143 84.8698
352.232697 90.210 85.9994
354.785126 90.271 87.0974
357.356049 90.323 88.1790
359.945587 90.364 89.2543
362.553894 90.391 90.3321
365.181122 90.406 91.4285
367.827362 90.407 92.5591
370.492798 90.397 93.7389
373.177551 90.375 94.9822
375.881744 90.344 96.3018
378.605530 90.307 97.7070
381.349060 90.266 99.2030
384.112488 90.223 100.7900
386.895935 90.181 102.4647
389.699554 90.143 104.2219
392.523468 90.111 106.0499
395.367859 90.085 107.9330
398.232849 90.067 109.8556
401.118622 90.054 111.8044
404.025299 90.046 113.7715
406.953033 90.041 115.7538
409.901978 90.036 117.7532
412.872284 90.031 119.7760
415.864136 90.025 121.8317
418.877655 90.019 123.9302
421.913025 90.014 126.0765
424.970367 90.013 128.2664
428.049866 90.018 130.4880
431.151703 90.030 132.7245
434.276001 90.046 134.9589
437.422943 90.065 137.1792
440.592682 90.085 139.3818
443.785400 90.101 141.5715
447.001251 90.113 143.7599
450.240417 90.118 145.9623
453.503052 90.117 148.1953
456.789307 90.111 150.4724
460.099396 90.102 152.8035
463.433472 90.091 155.1939
466.791687 90.080 157.6442
470.174255 90.072 160.1489
473.581329 90.069 162.6971
477.013092 90.070 165.2728
480.469727 90.075 167.8596
483.951416 90.081 170.4471
487.458313 90.085 173.0342
490.990631 90.087 175.6285
494.548553 90.083 178.2410
498.132263 90.076 -179.1193
501.741943 90.065 -176.4468
505.377777 90.050 -173.7355
509.039948 90.033 -170.9833
512.728638 90.014 -168.1910
516.444092 89.992 -165.3579
520.186462 89.970 -162.4828
523.955933 89.945 -159.5640
527.752747 89.920 -156.5996
531.577087 89.895 -153.5896
535.429138 89.869 -150.5345
539.309082 89.842 -147.4338
543.217163 89.815 -144.2839
547.153564 89.788 -141.0796
551.118469 89.761 -137.8175
555.112122 89.735 -134.4925
