* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (2- UMM-6), MICROPHONE (Master Volume), R, volume: 0.320. Timing signal peak level -59.2 dBFS, measurement signal peak level -43.6 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026 6:28:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -2.7529 ms (-944 mm, -(3 ft 1.18 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -18.4 ppm
* Measurement: MID + TW (875us)
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 30.029297 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
30.029297 63.943 11.8156
30.246902 63.689 13.6361
30.466084 63.345 16.3054
30.686853 62.926 20.0285
30.909224 62.453 24.9878
31.133205 61.945 31.2442
31.358809 61.425 38.6249
31.586048 60.910 46.6784
31.814934 60.413 54.7916
32.045479 59.942 62.4208
32.277695 59.500 69.2606
32.511593 59.090 75.2522
32.747185 58.711 80.4970
32.984486 58.362 85.1779
33.223503 58.043 89.5301
33.464252 57.750 93.8615
33.706749 57.482 98.6123
33.951000 57.243 104.4517
34.197021 57.039 112.3960
34.444828 56.879 123.7807
34.694431 56.771 139.4511
34.945843 56.719 157.5993
35.199074 56.716 173.7455
35.454140 56.747 -174.7702
35.711056 56.790 -167.5095
35.969833 56.821 -163.1100
36.230484 56.821 -160.4417
36.493027 56.779 -158.7394
36.757469 56.692 -157.5040
37.023830 56.565 -156.4164
37.292122 56.409 -155.2917
37.562355 56.241 -154.0604
37.834549 56.079 -152.7457
38.108715 55.936 -151.4422
38.384865 55.819 -150.2824
38.663017 55.726 -149.3893
38.943184 55.648 -148.8403
39.225384 55.571 -148.6526
39.509628 55.483 -148.7884
39.795933 55.371 -149.1737
40.084309 55.231 -149.7192
40.374775 55.061 -150.3374
40.667347 54.862 -150.9510
40.962040 54.639 -151.4938
41.258869 54.399 -151.9098
41.557846 54.151 -152.1462
41.858990 53.911 -152.1440
42.162315 53.698 -151.8330
42.467842 53.535 -151.1237
42.775581 53.449 -149.8894
43.085552 53.464 -147.9297
43.397766 53.591 -144.8912
43.712246 53.830 -140.0713
44.029003 54.166 -131.7742
44.348057 54.575 -114.2004
44.669422 55.027 -61.3013
44.993114 55.494 3.0624
45.319153 55.953 26.1569
45.647552 56.387 37.6214
45.978333 56.783 44.8146
46.311512 57.131 49.5530
46.647106 57.424 52.6818
46.985130 57.659 54.8447
47.325603 57.838 56.6305
47.668545 57.973 58.6207
48.013969 58.089 61.4447
48.361900 58.218 65.8792
48.712349 58.396 73.0250
49.065338 58.656 84.5558
49.420887 59.013 102.5037
49.779011 59.467 126.5472
50.139729 59.995 150.4236
50.503063 60.570 168.2907
50.869030 61.155 -179.8962
51.237648 61.720 -172.3101
51.608936 62.235 -167.5782
51.982918 62.675 -164.8583
52.359608 63.017 -163.5898
52.739025 63.243 -163.3434
53.121193 63.342 -163.7379
53.506130 63.307 -164.4684
53.893856 63.142 -165.2964
54.284393 62.855 -166.0418
54.677761 62.462 -166.6180
55.073978 61.985 -167.0499
55.473068 61.448 -167.4851
55.875050 60.881 -168.2111
56.279942 60.315 -169.7339
56.687771 59.782 -173.1146
57.098553 59.310 178.4628
57.512314 58.917 149.6708
57.929073 58.605 76.7098
58.348850 58.355 48.1759
58.771671 58.140 39.9986
59.197556 57.926 37.4818
59.626526 57.686 38.2858
60.058605 57.404 42.7427
60.493816 57.078 52.6262
60.932178 56.716 70.3588
61.373718 56.333 94.4127
61.818459 55.949 116.0706
62.266422 55.578 130.6656
62.717632 55.231 140.0110
63.172112 54.913 146.4951
63.629883 54.623 151.5255
64.090973 54.360 155.8036
64.555405 54.123 159.6426
65.023201 53.906 163.1454
65.494385 53.704 166.3241
65.968987 53.515 169.1665
66.447021 53.334 171.6544
66.928520 53.163 173.7503
67.413513 53.005 175.3843
67.902016 52.860 176.4570
68.394058 52.724 176.8597
68.889671 52.586 176.5062
69.388878 52.431 175.3383
69.891701 52.245 173.3376
70.398163 52.014 170.5266
70.908295 51.732 166.9550
71.422127 51.403 162.6890
71.939682 51.046 157.8175
72.460983 50.690 152.4781
72.986069 50.380 146.9031
73.514954 50.163 141.4345
74.047676 50.086 136.4550
74.584259 50.176 132.2552
75.124725 50.430 128.9323
75.669113 50.824 126.4182
76.217445 51.315 124.5546
76.769745 51.858 123.1611
77.326050 52.412 122.0845
77.886383 52.947 121.2157
78.450783 53.442 120.4957
79.019272 53.885 119.9120
79.591881 54.273 119.4811
80.168640 54.610 119.2255
80.749573 54.904 119.1523
81.334717 55.164 119.2439
81.924103 55.399 119.4563
82.517761 55.613 119.7338
83.115723 55.811 120.0156
83.718010 55.993 120.2375
84.324669 56.161 120.3403
84.935722 56.315 120.2786
85.551201 56.457 120.0326
86.171143 56.591 119.6122
86.795578 56.727 119.0486
87.424538 56.878 118.3807
88.058052 57.057 117.6465
88.696159 57.273 116.8804
89.338890 57.531 116.1083
89.986275 57.829 115.3644
90.638351 58.160 114.6846
91.295151 58.516 114.0962
91.956711 58.886 113.6213
92.623070 59.261 113.2736
93.294258 59.638 113.0542
93.970306 60.011 112.9503
94.651253 60.381 112.9382
95.337135 60.750 112.9883
96.027985 61.120 113.0685
96.723846 61.497 113.1465
97.424744 61.885 113.1884
98.130722 62.288 113.1690
98.841820 62.710 113.0723
99.558067 63.149 112.8863
100.279503 63.605 112.6054
101.006172 64.072 112.2303
101.738106 64.545 111.7651
102.475342 65.018 111.2127
103.217918 65.483 110.5707
103.965881 65.932 109.8308
104.719261 66.358 108.9833
105.478104 66.754 108.0237
106.242439 67.114 106.9482
107.012314 67.436 105.7776
107.787766 67.718 104.5460
108.568840 67.962 103.2837
109.355576 68.170 102.0223
110.148010 68.346 100.7949
110.946190 68.495 99.6351
111.750153 68.621 98.5752
112.559937 68.733 97.6426
113.375595 68.840 96.8574
114.197159 68.951 96.2296
115.024681 69.076 95.7575
115.858200 69.223 95.4169
116.697754 69.398 95.1887
117.543396 69.607 95.0549
118.395164 69.851 94.9901
119.253105 70.127 94.9718
120.117264 70.434 94.9811
120.987686 70.768 95.0004
121.864410 71.125 95.0114
122.747490 71.500 94.9938
123.636971 71.890 94.9259
124.532898 72.289 94.7848
125.435318 72.693 94.5475
126.344276 73.098 94.1903
127.259819 73.499 93.6936
128.181992 73.890 93.0445
129.110855 74.264 92.2399
130.046448 74.617 91.2911
130.988815 74.944 90.2248
131.938019 75.242 89.0801
132.894089 75.512 87.9028
133.857101 75.754 86.7397
134.827087 75.974 85.6324
135.804108 76.175 84.6156
136.788193 76.365 83.7155
137.779419 76.548 82.9462
138.777832 76.733 82.3171
139.783478 76.926 81.8292
140.796402 77.133 81.4724
141.816666 77.359 81.2292
142.844330 77.607 81.0770
143.879440 77.880 80.9894
144.922043 78.177 80.9375
145.972214 78.500 80.8904
147.029984 78.844 80.8132
148.095428 79.205 80.6672
149.168594 79.578 80.4124
150.249527 79.955 80.0139
151.338303 80.325 79.4476
152.434967 80.680 78.7065
153.539566 81.013 77.8046
154.652176 81.316 76.7744
155.772842 81.590 75.6616
156.901642 81.833 74.5166
158.038620 82.052 73.3858
159.183838 82.251 72.3044
160.337357 82.439 71.2941
161.499222 82.620 70.3634
162.669510 82.803 69.5112
163.848282 82.990 68.7322
165.035599 83.186 68.0147
166.231522 83.393 67.3441
167.436096 83.612 66.7053
168.649414 83.842 66.0819
169.871521 84.082 65.4564
171.102478 84.331 64.8113
172.342361 84.586 64.1295
173.591232 84.843 63.3956
174.849152 85.098 62.5986
176.116180 85.348 61.7346
177.392395 85.591 60.8080
178.677856 85.823 59.8309
179.972626 86.046 58.8120
181.276779 86.256 57.7576
182.590393 86.456 56.6760
183.913513 86.643 55.5762
185.246231 86.820 54.4673
186.588608 86.986 53.3579
187.940704 87.143 52.2554
189.302597 87.293 51.1650
190.674362 87.436 50.0880
192.056061 87.572 49.0209
193.447784 87.702 47.9581
194.849594 87.824 46.8972
196.261551 87.934 45.8368
197.683746 88.031 44.7814
199.116241 88.113 43.7459
200.559113 88.178 42.7507
202.012451 88.229 41.8165
203.476318 88.269 40.9589
204.950790 88.303 40.1844
206.435944 88.333 39.4899
207.931870 88.362 38.8647
209.438629 88.394 38.2944
210.956314 88.426 37.7655
212.484985 88.459 37.2673
214.024734 88.491 36.7977
215.575653 88.522 36.3591
217.137802 88.551 35.9537
218.711273 88.579 35.5813
220.296143 88.607 35.2384
221.892502 88.633 34.9205
223.500427 88.659 34.6229
225.120010 88.682 34.3429
226.751328 88.702 34.0795
228.394455 88.717 33.8350
230.049500 88.727 33.6140
231.716537 88.731 33.4142
233.395645 88.728 33.2451
235.086929 88.719 33.1200
236.790466 88.704 33.0457
238.506348 88.683 33.0280
240.234665 88.658 33.0712
241.975510 88.629 33.1776
243.728958 88.597 33.3477
245.495117 88.562 33.5826
247.274078 88.524 33.8856
249.065933 88.485 34.2620
250.870773 88.445 34.7172
252.688690 88.406 35.2416
254.519775 88.371 35.8385
256.364136 88.341 36.5132
258.221863 88.318 37.2570
260.093048 88.305 38.0579
261.977783 88.301 38.9019
263.876190 88.306 39.7737
265.788361 88.320 40.6596
267.714386 88.340 41.5485
269.654358 88.366 42.4338
271.608398 88.396 43.3115
273.576599 88.427 44.1783
275.559052 88.458 45.0217
277.555878 88.488 45.8447
279.567169 88.513 46.6602
281.593018 88.532 47.4789
283.633545 88.542 48.3170
285.688873 88.542 49.1967
287.759094 88.533 50.1445
289.844330 88.516 51.1898
291.944672 88.496 52.3580
294.060211 88.478 53.6637
296.191101 88.470 55.1035
298.337433 88.477 56.6542
300.499298 88.504 58.2802
302.676849 88.554 59.9325
304.870178 88.623 61.5627
307.079407 88.708 63.1373
309.304626 88.805 64.6383
311.545990 88.909 66.0629
313.803589 89.015 67.4172
316.077545 89.122 68.7111
318.367981 89.228 69.9528
320.675018 89.332 71.1491
322.998749 89.433 72.3046
325.339325 89.531 73.4232
327.696869 89.624 74.5168
330.071503 89.711 75.5894
332.463348 89.792 76.6437
334.872528 89.866 77.6907
337.299164 89.934 78.7399
339.743378 89.997 79.7978
342.205292 90.057 80.8666
344.685059 90.113 81.9446
347.182800 90.167 83.0259
349.698639 90.218 84.1040
352.232697 90.263 85.1736
354.785126 90.302 86.2336
357.356049 90.332 87.2980
359.945587 90.352 88.3748
362.553894 90.359 89.4714
365.181122 90.355 90.6031
367.827362 90.339 91.7852
370.492798 90.312 93.0326
373.177551 90.275 94.3594
375.881744 90.232 95.7775
378.605530 90.184 97.2953
381.349060 90.135 98.9150
384.112488 90.089 100.6335
386.895935 90.048 102.4422
389.699554 90.014 104.3304
392.523468 89.990 106.2810
395.367859 89.976 108.2729
398.232849 89.970 110.2874
401.118622 89.973 112.3094
404.025299 89.980 114.3306
406.953033 89.991 116.3490
409.901978 90.002 118.3678
412.872284 90.013 120.3944
415.864136 90.023 122.4392
418.877655 90.032 124.5123
421.913025 90.042 126.6198
424.970367 90.055 128.7587
428.049866 90.071 130.9192
431.151703 90.092 133.0869
434.276001 90.115 135.2474
437.422943 90.140 137.3910
440.592682 90.163 139.5154
443.785400 90.181 141.6267
447.001251 90.192 143.7370
450.240417 90.196 145.8616
453.503052 90.193 148.0159
456.789307 90.183 150.2136
460.099396 90.169 152.4641
463.433472 90.150 154.7750
466.791687 90.131 157.1490
470.174255 90.111 159.5845
473.581329 90.094 162.0753
477.013092 90.078 164.6098
480.469727 90.065 167.1762
483.951416 90.052 169.7673
487.458313 90.038 172.3843
490.990631 90.022 175.0353
494.548553 90.003 177.7296
498.132263 89.983 -179.5269
501.741943 89.963 -176.7338
505.377777 89.944 -173.8907
509.039948 89.927 -171.0019
512.728638 89.913 -168.0745
516.444092 89.902 -165.1148
520.186462 89.894 -162.1286
523.955933 89.889 -159.1202
527.752747 89.886 -156.0938
531.577087 89.885 -153.0526
535.429138 89.884 -149.9992
539.309082 89.883 -146.9330
543.217163 89.879 -143.8492
547.153564 89.871 -140.7395
551.118469 89.860 -137.5964
555.112122 89.846 -134.4097
