* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (2- UMM-6), MICROPHONE (Master Volume), R, volume: 0.320. Timing signal peak level -58.6 dBFS, measurement signal peak level -43.1 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026 6:58:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -2.7729 ms (-951 mm, -(3 ft 1.44 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -17.9 ppm
* Measurement: MID BW + TW BW
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 30.029297 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
30.029297 77.237 -131.2869
30.246902 77.348 -130.8684
30.466084 77.495 -130.4305
30.686853 77.675 -130.0314
30.909224 77.881 -129.7273
31.133205 78.110 -129.5654
31.358809 78.355 -129.5798
31.586048 78.612 -129.7924
31.814934 78.878 -130.2159
32.045479 79.147 -130.8580
32.277695 79.417 -131.7229
32.511593 79.684 -132.8118
32.747185 79.943 -134.1212
32.984486 80.188 -135.6406
33.223503 80.414 -137.3502
33.464252 80.616 -139.2210
33.706749 80.792 -141.2162
33.951000 80.940 -143.2940
34.197021 81.061 -145.4121
34.444828 81.158 -147.5345
34.694431 81.232 -149.6266
34.945843 81.288 -151.6584
35.199074 81.329 -153.6090
35.454140 81.356 -155.4605
35.711056 81.372 -157.1957
35.969833 81.378 -158.7953
36.230484 81.375 -160.2382
36.493027 81.368 -161.5044
36.757469 81.361 -162.5814
37.023830 81.363 -163.4713
37.292122 81.381 -164.1971
37.562355 81.420 -164.8082
37.834549 81.485 -165.3682
38.108715 81.572 -165.9465
38.384865 81.675 -166.6084
38.663017 81.786 -167.4000
38.943184 81.892 -168.3407
39.225384 81.985 -169.4233
39.509628 82.058 -170.6193
39.795933 82.106 -171.8870
40.084309 82.131 -173.1809
40.374775 82.135 -174.4588
40.667347 82.124 -175.6877
40.962040 82.106 -176.8441
41.258869 82.088 -177.9186
41.557846 82.077 -178.9126
41.858990 82.078 -179.8332
42.162315 82.098 179.3082
42.467842 82.139 178.4973
42.775581 82.204 177.7170
43.085552 82.296 176.9470
43.397766 82.412 176.1628
43.712246 82.550 175.3366
44.029003 82.707 174.4408
44.348057 82.875 173.4524
44.669422 83.045 172.3632
44.993114 83.209 171.1735
45.319153 83.359 169.8971
45.647552 83.490 168.5640
45.978333 83.599 167.2120
46.311512 83.686 165.8806
46.647106 83.756 164.6033
46.985130 83.815 163.4019
47.325603 83.870 162.2814
47.668545 83.929 161.2288
48.013969 83.998 160.2127
48.361900 84.082 159.1886
48.712349 84.180 158.1027
49.065338 84.289 156.9050
49.420887 84.402 155.5576
49.779011 84.510 154.0400
50.139729 84.605 152.3549
50.503063 84.676 150.5293
50.869030 84.721 148.6098
51.237648 84.736 146.6544
51.608936 84.727 144.7223
51.982918 84.698 142.8632
52.359608 84.661 141.1086
52.739025 84.624 139.4681
53.121193 84.596 137.9514
53.506130 84.580 136.5310
53.893856 84.577 135.1693
54.284393 84.583 133.8524
54.677761 84.592 132.5818
55.073978 84.599 131.3757
55.473068 84.599 130.2647
55.875050 84.591 129.2849
56.279942 84.578 128.4687
56.687771 84.564 127.8367
57.098553 84.556 127.3918
57.512314 84.562 127.1162
57.929073 84.587 126.9874
58.348850 84.636 126.9509
58.771671 84.711 126.9382
59.197556 84.809 126.8909
59.626526 84.928 126.7557
60.058605 85.061 126.4902
60.493816 85.204 126.0657
60.932178 85.350 125.4682
61.373718 85.493 124.6974
61.818459 85.629 123.7634
62.266422 85.755 122.6836
62.717632 85.871 121.4790
63.172112 85.974 120.1855
63.629883 86.065 118.8236
64.090973 86.145 117.4077
64.555405 86.215 115.9588
65.023201 86.277 114.4944
65.494385 86.331 113.0275
65.968987 86.379 111.5669
66.447021 86.421 110.1178
66.928520 86.458 108.6823
67.413513 86.490 107.2599
67.902016 86.515 105.8479
68.394058 86.533 104.4435
68.889671 86.542 103.0516
69.388878 86.540 101.6750
69.891701 86.526 100.3195
70.398163 86.499 98.9985
70.908295 86.463 97.7267
71.422127 86.419 96.5161
71.939682 86.371 95.3726
72.460983 86.324 94.2934
72.986069 86.279 93.2663
73.514954 86.239 92.2742
74.047676 86.201 91.3019
74.584259 86.162 90.3440
75.124725 86.118 89.4007
75.669113 86.068 88.4928
76.217445 86.010 87.6482
76.769745 85.949 86.8857
77.326050 85.887 86.2156
77.886383 85.830 85.6379
78.450783 85.784 85.1425
79.019272 85.756 84.7095
79.591881 85.749 84.3094
80.168640 85.768 83.9036
80.749573 85.815 83.4477
81.334717 85.886 82.8981
81.924103 85.976 82.2164
82.517761 86.078 81.3817
83.115723 86.184 80.3901
83.718010 86.284 79.2493
84.324669 86.371 77.9773
84.935722 86.438 76.5978
85.551201 86.480 75.1377
86.171143 86.493 73.6255
86.795578 86.474 72.0903
87.424538 86.424 70.5614
88.058052 86.343 69.0668
88.696159 86.233 67.6312
89.338890 86.101 66.2663
89.986275 85.951 64.9881
90.638351 85.789 63.8113
91.295151 85.621 62.7404
91.956711 85.451 61.7759
92.623070 85.284 60.9131
93.294258 85.122 60.1427
93.970306 84.966 59.4521
94.651253 84.814 58.8306
95.337135 84.661 58.2754
96.027985 84.504 57.7981
96.723846 84.337 57.4278
97.424744 84.159 57.2066
98.130722 83.970 57.1924
98.841820 83.776 57.4466
99.558067 83.588 58.0166
100.279503 83.421 58.9218
101.006172 83.292 60.1391
101.738106 83.216 61.5977
102.475342 83.204 63.1860
103.217918 83.261 64.7698
103.965881 83.380 66.2159
104.719261 83.552 67.4135
105.478104 83.760 68.2885
106.242439 83.988 68.7973
107.012314 84.220 68.9462
107.787766 84.443 68.7741
108.568840 84.651 68.3279
109.355576 84.837 67.6579
110.148010 84.999 66.8112
110.946190 85.134 65.8300
111.750153 85.242 64.7548
112.559937 85.322 63.6247
113.375595 85.375 62.4761
114.197159 85.403 61.3394
115.024681 85.408 60.2374
115.858200 85.394 59.1751
116.697754 85.362 58.1688
117.543396 85.313 57.2417
118.395164 85.249 56.4136
119.253105 85.173 55.7094
120.117264 85.087 55.1554
120.987686 85.000 54.7718
121.864410 84.917 54.5662
122.747490 84.849 54.5293
123.636971 84.801 54.6374
124.532898 84.781 54.8564
125.435318 84.791 55.1472
126.344276 84.834 55.4651
127.259819 84.908 55.7625
128.181992 85.012 55.9887
129.110855 85.140 56.0921
130.046448 85.283 56.0288
130.988815 85.432 55.7713
131.938019 85.576 55.3133
132.894089 85.708 54.6693
133.857101 85.820 53.8686
134.827087 85.909 52.9484
135.804108 85.973 51.9471
136.788193 86.010 50.9016
137.779419 86.021 49.8413
138.777832 86.007 48.7974
139.783478 85.968 47.8020
140.796402 85.905 46.8872
141.816666 85.818 46.0901
142.844330 85.711 45.4539
143.879440 85.586 45.0246
144.922043 85.452 44.8464
145.972214 85.318 44.9542
147.029984 85.195 45.3631
148.095428 85.098 46.0603
149.168594 85.039 46.9989
150.249527 85.028 48.1004
151.338303 85.070 49.2598
152.434967 85.164 50.3615
153.539566 85.300 51.3010
154.652176 85.465 52.0024
155.772842 85.645 52.4291
156.901642 85.824 52.5837
158.038620 85.990 52.4998
159.183838 86.136 52.2303
160.337357 86.255 51.8360
161.499222 86.348 51.3780
162.669510 86.415 50.9118
163.848282 86.460 50.4875
165.035599 86.486 50.1443
166.231522 86.500 49.9128
167.436096 86.507 49.8185
168.649414 86.513 49.8778
169.871521 86.528 50.0948
171.102478 86.557 50.4562
172.342361 86.607 50.9305
173.591232 86.682 51.4709
174.849152 86.783 52.0242
176.116180 86.907 52.5426
177.392395 87.050 52.9923
178.677856 87.208 53.3586
179.972626 87.377 53.6340
181.276779 87.555 53.8150
182.590393 87.737 53.9021
183.913513 87.923 53.8961
185.246231 88.109 53.7991
186.588608 88.292 53.6168
187.940704 88.470 53.3600
189.302597 88.643 53.0437
190.674362 88.809 52.6836
192.056061 88.970 52.2907
193.447784 89.127 51.8692
194.849594 89.280 51.4188
196.261551 89.427 50.9324
197.683746 89.567 50.4034
199.116241 89.697 49.8346
200.559113 89.815 49.2377
202.012451 89.919 48.6310
203.476318 90.010 48.0347
204.950790 90.090 47.4652
206.435944 90.162 46.9318
207.931870 90.230 46.4358
209.438629 90.295 45.9718
210.956314 90.358 45.5323
212.484985 90.421 45.1097
214.024734 90.483 44.7010
215.575653 90.543 44.3060
217.137802 90.603 43.9221
218.711273 90.662 43.5437
220.296143 90.719 43.1640
221.892502 90.773 42.7776
223.500427 90.822 42.3838
225.120010 90.865 41.9859
226.751328 90.900 41.5900
228.394455 90.927 41.2037
230.049500 90.946 40.8344
231.716537 90.957 40.4807
233.395645 90.960 40.1513
235.086929 90.957 39.8585
236.790466 90.947 39.6070
238.506348 90.932 39.4005
240.234665 90.913 39.2408
241.975510 90.890 39.1277
243.728958 90.863 39.0598
245.495117 90.834 39.0365
247.274078 90.800 39.0598
249.065933 90.763 39.1332
250.870773 90.723 39.2612
252.688690 90.681 39.4334
254.519775 90.637 39.6542
256.364136 90.593 39.9324
258.221863 90.548 40.2655
260.093048 90.504 40.6511
261.977783 90.461 41.0878
263.876190 90.418 41.5757
265.788361 90.375 42.1164
267.714386 90.335 42.7120
269.654358 90.296 43.3629
271.608398 90.262 44.0652
273.576599 90.233 44.8085
275.559052 90.209 45.5678
277.555878 90.190 46.3317
279.567169 90.172 47.0988
281.593018 90.153 47.8688
283.633545 90.129 48.6506
285.688873 90.100 49.4619
287.759094 90.062 50.3268
289.844330 90.019 51.2715
291.944672 89.972 52.3187
294.060211 89.927 53.4813
296.191101 89.890 54.7571
298.337433 89.866 56.1276
300.499298 89.858 57.5648
302.676849 89.868 59.0292
304.870178 89.895 60.4824
307.079407 89.935 61.8989
309.304626 89.985 63.2655
311.545990 90.042 64.5800
313.803589 90.101 65.8462
316.077545 90.163 67.0690
318.367981 90.224 68.2527
320.675018 90.283 69.4010
322.998749 90.339 70.5176
325.339325 90.391 71.6077
327.696869 90.436 72.6861
330.071503 90.475 73.7604
332.463348 90.505 74.8378
334.872528 90.528 75.9331
337.299164 90.545 77.0594
339.743378 90.558 78.2259
342.205292 90.569 79.4357
344.685059 90.580 80.6850
347.182800 90.594 81.9635
349.698639 90.610 83.2571
352.232697 90.628 84.5516
354.785126 90.645 85.8368
357.356049 90.660 87.1187
359.945587 90.670 88.3994
362.553894 90.672 89.6826
365.181122 90.666 90.9819
367.827362 90.650 92.3118
370.492798 90.627 93.6868
373.177551 90.597 95.1194
375.881744 90.561 96.6193
378.605530 90.522 98.1917
381.349060 90.481 99.8372
384.112488 90.442 101.5526
386.895935 90.405 103.3323
389.699554 90.372 105.1713
392.523468 90.344 107.0601
395.367859 90.321 108.9860
398.232849 90.303 110.9381
401.118622 90.289 112.9075
404.025299 90.278 114.8893
406.953033 90.267 116.8828
409.901978 90.257 118.8912
412.872284 90.244 120.9217
415.864136 90.230 122.9845
418.877655 90.213 125.0911
421.913025 90.197 127.2486
424.970367 90.184 129.4555
428.049866 90.175 131.7017
431.151703 90.171 133.9710
434.276001 90.172 136.2463
437.422943 90.177 138.5148
440.592682 90.181 140.7717
443.785400 90.182 143.0221
447.001251 90.179 145.2781
450.240417 90.170 147.5559
453.503052 90.155 149.8724
456.789307 90.136 152.2413
460.099396 90.114 154.6713
463.433472 90.091 157.1669
466.791687 90.071 159.7267
470.174255 90.053 162.3444
473.581329 90.041 165.0089
477.013092 90.034 167.7054
480.469727 90.031 170.4202
483.951416 90.030 173.1452
487.458313 90.028 175.8815
490.990631 90.026 178.6376
494.548553 90.022 -178.5767
498.132263 90.017 -175.7555
501.741943 90.012 -172.8980
505.377777 90.008 -170.0041
509.039948 90.006 -167.0779
512.728638 90.006 -164.1260
516.444092 90.008 -161.1533
520.186462 90.011 -158.1637
523.955933 90.016 -155.1596
527.752747 90.022 -152.1427
531.577087 90.027 -149.1152
535.429138 90.032 -146.0784
539.309082 90.035 -143.0307
543.217163 90.034 -139.9660
547.153564 90.028 -136.8746
551.118469 90.017 -133.7472
555.112122 90.002 -130.5715
