* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (2- UMM-6), MICROPHONE (Master Volume), R, volume: 0.320. Timing signal peak level -58.6 dBFS, measurement signal peak level -43.7 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026 7:00:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -2.7747 ms (-952 mm, -(3 ft 1.47 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -18.6 ppm
* Measurement: MID LR + TW BW
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 30.029297 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
30.029297 77.017 -122.3742
30.246902 77.199 -122.9590
30.466084 77.428 -123.7922
30.686853 77.686 -124.8275
30.909224 77.958 -126.0111
31.133205 78.232 -127.2863
31.358809 78.503 -128.6003
31.586048 78.770 -129.9106
31.814934 79.035 -131.1910
32.045479 79.299 -132.4344
32.277695 79.567 -133.6525
32.511593 79.839 -134.8711
32.747185 80.113 -136.1234
32.984486 80.385 -137.4424
33.223503 80.650 -138.8541
33.464252 80.904 -140.3747
33.706749 81.139 -142.0096
33.951000 81.354 -143.7554
34.197021 81.543 -145.6028
34.444828 81.704 -147.5417
34.694431 81.835 -149.5537
34.945843 81.934 -151.6142
35.199074 81.997 -153.6947
35.454140 82.024 -155.7587
35.711056 82.014 -157.7607
35.969833 81.967 -159.6476
36.230484 81.889 -161.3637
36.493027 81.789 -162.8587
36.757469 81.679 -164.0992
37.023830 81.574 -165.0798
37.292122 81.491 -165.8327
37.562355 81.443 -166.4309
37.834549 81.438 -166.9708
38.108715 81.477 -167.5546
38.384865 81.552 -168.2719
38.663017 81.650 -169.1801
38.943184 81.759 -170.2981
39.225384 81.865 -171.6104
39.509628 81.958 -173.0767
39.795933 82.032 -174.6437
40.084309 82.085 -176.2543
40.374775 82.115 -177.8544
40.667347 82.127 -179.3959
40.962040 82.123 179.1638
41.258869 82.108 177.8566
41.557846 82.089 176.7041
41.858990 82.073 175.7175
42.162315 82.068 174.8942
42.467842 82.082 174.2146
42.775581 82.120 173.6432
43.085552 82.186 173.1309
43.397766 82.281 172.6215
43.712246 82.401 172.0603
44.029003 82.541 171.4013
44.348057 82.692 170.6128
44.669422 82.845 169.6842
44.993114 82.993 168.6160
45.319153 83.129 167.4210
45.647552 83.248 166.1262
45.978333 83.347 164.7663
46.311512 83.427 163.3795
46.647106 83.490 162.0023
46.985130 83.541 160.6644
47.325603 83.587 159.3837
47.668545 83.636 158.1625
48.013969 83.696 156.9854
48.361900 83.772 155.8212
48.712349 83.865 154.6267
49.065338 83.975 153.3582
49.420887 84.094 151.9801
49.779011 84.215 150.4709
50.139729 84.327 148.8309
50.503063 84.422 147.0842
50.869030 84.492 145.2760
51.237648 84.535 143.4650
51.608936 84.551 141.7131
51.982918 84.548 140.0722
52.359608 84.532 138.5737
52.739025 84.515 137.2219
53.121193 84.503 136.0163
53.506130 84.499 134.9169
53.893856 84.502 133.8746
54.284393 84.507 132.8682
54.677761 84.509 131.8968
55.073978 84.502 130.9782
55.473068 84.485 130.1412
55.875050 84.460 129.4153
56.279942 84.430 128.8208
56.687771 84.402 128.3621
57.098553 84.386 128.0238
57.512314 84.388 127.7711
57.929073 84.415 127.5668
58.348850 84.468 127.3468
58.771671 84.549 127.0392
59.197556 84.653 126.5910
59.626526 84.776 125.9645
60.058605 84.911 125.1410
60.493816 85.051 124.1197
60.932178 85.193 122.9138
61.373718 85.331 121.5464
61.818459 85.463 120.0453
62.266422 85.588 118.4415
62.717632 85.702 116.7669
63.172112 85.805 115.0659
63.629883 85.897 113.3656
64.090973 85.977 111.6830
64.555405 86.048 110.0383
65.023201 86.109 108.4433
65.494385 86.163 106.9022
65.968987 86.209 105.4124
66.447021 86.248 103.9664
66.928520 86.281 102.5536
67.413513 86.305 101.1621
67.902016 86.321 99.7804
68.394058 86.328 98.3990
68.889671 86.323 97.0186
69.388878 86.307 95.6397
69.891701 86.278 94.2666
70.398163 86.238 92.9126
70.908295 86.188 91.5931
71.422127 86.132 90.3221
71.939682 86.074 89.1081
72.460983 86.018 87.9506
72.986069 85.966 86.8397
73.514954 85.920 85.7598
74.047676 85.877 84.6970
74.584259 85.835 83.6466
75.124725 85.788 82.6095
75.669113 85.735 81.6069
76.217445 85.675 80.6683
76.769745 85.609 79.8146
77.326050 85.544 79.0577
77.886383 85.483 78.3987
78.450783 85.434 77.8269
79.019272 85.402 77.3210
79.591881 85.393 76.8502
80.168640 85.408 76.3756
80.749573 85.448 75.8546
81.334717 85.511 75.2467
81.924103 85.591 74.5162
82.517761 85.682 73.6436
83.115723 85.774 72.6230
83.718010 85.862 71.4573
84.324669 85.938 70.1576
84.935722 85.995 68.7402
85.551201 86.029 67.2260
86.171143 86.035 65.6391
86.795578 86.010 64.0087
87.424538 85.952 62.3673
88.058052 85.862 60.7499
88.696159 85.741 59.1909
89.338890 85.595 57.7135
89.986275 85.426 56.3443
90.638351 85.243 55.1056
91.295151 85.050 54.0056
91.956711 84.853 53.0428
92.623070 84.659 52.2069
93.294258 84.468 51.4799
93.970306 84.283 50.8405
94.651253 84.102 50.2701
95.337135 83.920 49.7609
96.027985 83.734 49.3219
96.723846 83.538 48.9820
97.424744 83.331 48.7843
98.130722 83.116 48.7884
98.841820 82.896 49.0574
99.558067 82.685 49.6400
100.279503 82.497 50.5560
101.006172 82.350 51.7827
101.738106 82.258 53.2492
102.475342 82.233 54.8438
103.217918 82.279 56.4329
103.965881 82.390 57.8842
104.719261 82.555 59.0885
105.478104 82.757 59.9727
106.242439 82.979 60.4940
107.012314 83.205 60.6580
107.787766 83.424 60.5021
108.568840 83.625 60.0707
109.355576 83.804 59.4118
110.148010 83.957 58.5705
110.946190 84.081 57.5880
111.750153 84.176 56.5048
112.559937 84.240 55.3619
113.375595 84.275 54.1986
114.197159 84.282 53.0488
115.024681 84.264 51.9389
115.858200 84.224 50.8779
116.697754 84.165 49.8853
117.543396 84.087 48.9868
118.395164 83.993 48.2043
119.253105 83.885 47.5640
120.117264 83.767 47.0933
120.987686 83.648 46.8133
121.864410 83.535 46.7317
122.747490 83.439 46.8395
123.636971 83.368 47.1119
124.532898 83.329 47.5130
125.435318 83.328 47.9987
126.344276 83.369 48.5163
127.259819 83.449 49.0075
128.181992 83.567 49.4085
129.110855 83.714 49.6549
130.046448 83.879 49.6941
130.988815 84.051 49.4946
131.938019 84.216 49.0523
132.894089 84.365 48.3886
133.857101 84.489 47.5431
134.827087 84.585 46.5633
135.804108 84.651 45.4974
136.788193 84.687 44.3889
137.779419 84.694 43.2716
138.777832 84.673 42.1783
139.783478 84.625 41.1406
140.796402 84.552 40.1888
141.816666 84.456 39.3571
142.844330 84.337 38.6851
143.879440 84.202 38.2149
144.922043 84.055 37.9871
145.972214 83.907 38.0324
147.029984 83.770 38.3624
148.095428 83.656 38.9605
149.168594 83.578 39.7778
150.249527 83.545 40.7361
151.338303 83.561 41.7346
152.434967 83.624 42.6662
153.539566 83.725 43.4366
154.652176 83.851 43.9805
155.772842 83.988 44.2692
156.901642 84.121 44.3105
158.038620 84.241 44.1396
159.183838 84.340 43.8083
160.337357 84.413 43.3743
161.499222 84.460 42.8949
162.669510 84.482 42.4219
163.848282 84.482 42.0022
165.035599 84.463 41.6727
166.231522 84.431 41.4628
167.436096 84.389 41.3979
168.649414 84.344 41.4967
169.871521 84.303 41.7673
171.102478 84.274 42.2024
172.342361 84.263 42.7767
173.591232 84.275 43.4487
174.849152 84.314 44.1684
176.116180 84.378 44.8884
177.392395 84.465 45.5733
178.677856 84.570 46.2054
179.972626 84.692 46.7737
181.276779 84.826 47.2705
182.590393 84.970 47.6922
183.913513 85.121 48.0355
185.246231 85.275 48.2985
186.588608 85.431 48.4834
187.940704 85.584 48.5977
189.302597 85.734 48.6545
190.674362 85.881 48.6680
192.056061 86.025 48.6494
193.447784 86.167 48.6032
194.849594 86.306 48.5306
196.261551 86.444 48.4249
197.683746 86.577 48.2795
199.116241 86.702 48.0959
200.559113 86.818 47.8839
202.012451 86.924 47.6597
203.476318 87.021 47.4410
204.950790 87.109 47.2420
206.435944 87.193 47.0695
207.931870 87.275 46.9222
209.438629 87.355 46.7928
210.956314 87.436 46.6726
212.484985 87.517 46.5541
214.024734 87.596 46.4359
215.575653 87.674 46.3196
217.137802 87.751 46.2050
218.711273 87.827 46.0880
220.296143 87.901 45.9628
221.892502 87.972 45.8252
223.500427 88.039 45.6751
225.120010 88.101 45.5170
226.751328 88.157 45.3575
228.394455 88.206 45.2043
230.049500 88.247 45.0643
231.716537 88.282 44.9356
233.395645 88.309 44.8263
235.086929 88.330 44.7484
236.790466 88.343 44.7071
238.506348 88.351 44.7074
240.234665 88.353 44.7527
241.975510 88.350 44.8452
243.728958 88.343 44.9861
245.495117 88.332 45.1769
247.274078 88.318 45.4210
249.065933 88.302 45.7221
250.870773 88.284 46.0833
252.688690 88.267 46.4915
254.519775 88.250 46.9482
256.364136 88.235 47.4594
258.221863 88.222 48.0212
260.093048 88.212 48.6316
261.977783 88.204 49.2903
263.876190 88.198 49.9998
265.788361 88.195 50.7638
267.714386 88.195 51.5851
269.654358 88.202 52.4626
271.608398 88.215 53.3885
273.576599 88.238 54.3459
275.559052 88.269 55.3021
277.555878 88.306 56.2386
279.567169 88.347 57.1497
281.593018 88.388 58.0333
283.633545 88.425 58.8999
285.688873 88.455 59.7703
287.759094 88.478 60.6714
289.844330 88.496 61.6309
291.944672 88.512 62.6711
294.060211 88.532 63.8020
296.191101 88.559 65.0174
298.337433 88.600 66.2946
300.499298 88.656 67.6033
302.676849 88.727 68.9044
304.870178 88.809 70.1628
307.079407 88.900 71.3593
309.304626 88.993 72.4890
311.545990 89.086 73.5581
313.803589 89.176 74.5789
316.077545 89.262 75.5638
318.367981 89.343 76.5222
320.675018 89.419 77.4606
322.998749 89.490 78.3825
325.339325 89.555 79.2903
327.696869 89.614 80.1944
330.071503 89.664 81.0972
332.463348 89.706 82.0013
334.872528 89.739 82.9187
337.299164 89.764 83.8617
339.743378 89.781 84.8411
342.205292 89.793 85.8640
344.685059 89.802 86.9325
347.182800 89.808 88.0431
349.698639 89.814 89.1886
352.232697 89.818 90.3603
354.785126 89.822 91.5515
357.356049 89.822 92.7689
359.945587 89.817 94.0127
362.553894 89.808 95.2827
365.181122 89.792 96.5880
367.827362 89.770 97.9388
370.492798 89.742 99.3469
373.177551 89.708 100.8245
375.881744 89.670 102.3824
378.605530 89.631 104.0278
381.349060 89.593 105.7625
384.112488 89.559 107.5826
386.895935 89.531 109.4799
389.699554 89.512 111.4444
392.523468 89.502 113.4594
395.367859 89.502 115.5049
398.232849 89.511 117.5629
401.118622 89.527 119.6201
404.025299 89.547 121.6695
406.953033 89.570 123.7111
409.901978 89.593 125.7495
412.872284 89.615 127.7933
415.864136 89.636 129.8538
418.877655 89.655 131.9420
421.913025 89.675 134.0646
424.970367 89.699 136.2187
428.049866 89.728 138.3936
431.151703 89.762 140.5735
434.276001 89.801 142.7422
437.422943 89.842 144.8881
440.592682 89.883 147.0072
443.785400 89.921 149.1028
447.001251 89.954 151.1847
450.240417 89.981 153.2664
453.503052 90.000 155.3622
456.789307 90.013 157.4849
460.099396 90.021 159.6429
463.433472 90.025 161.8422
466.791687 90.026 164.0847
470.174255 90.026 166.3685
473.581329 90.024 168.6886
477.013092 90.020 171.0372
480.469727 90.015 173.4070
483.951416 90.004 175.7967
487.458313 89.988 178.2136
490.990631 89.963 -179.3284
494.548553 89.932 -176.8137
498.132263 89.894 -174.2307
501.741943 89.852 -171.5729
505.377777 89.809 -168.8351
509.039948 89.765 -166.0174
512.728638 89.723 -163.1240
516.444092 89.685 -160.1601
520.186462 89.651 -157.1320
523.955933 89.623 -154.0464
527.752747 89.601 -150.9118
531.577087 89.585 -147.7377
535.429138 89.577 -144.5341
539.309082 89.573 -141.3083
543.217163 89.574 -138.0632
547.153564 89.578 -134.7988
551.118469 89.585 -131.5153
555.112122 89.595 -128.2105
