* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (2- UMM-6), MICROPHONE (Master Volume), R, volume: 0.320. Timing signal peak level -59.0 dBFS, measurement signal peak level -46.3 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026 7:11:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -2.7744 ms (-952 mm, -(3 ft 1.47 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -18.6 ppm
* Measurement: FULL = gain matched ?
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 30.029297 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
30.029297 78.164 -121.7331
30.246902 78.230 -122.1715
30.466084 78.316 -122.8263
30.686853 78.420 -123.6643
30.909224 78.539 -124.6490
31.133205 78.671 -125.7455
31.358809 78.815 -126.9239
31.586048 78.971 -128.1621
31.814934 79.140 -129.4485
32.045479 79.322 -130.7818
32.277695 79.515 -132.1693
32.511593 79.716 -133.6243
32.747185 79.923 -135.1609
32.984486 80.129 -136.7904
33.223503 80.328 -138.5174
33.464252 80.514 -140.3375
33.706749 80.681 -142.2372
33.951000 80.824 -144.1941
34.197021 80.940 -146.1794
34.444828 81.027 -148.1630
34.694431 81.084 -150.1074
34.945843 81.114 -151.9725
35.199074 81.119 -153.7227
35.454140 81.103 -155.3253
35.711056 81.073 -156.7542
35.969833 81.036 -157.9917
36.230484 81.002 -159.0335
36.493027 80.980 -159.8911
36.757469 80.979 -160.5950
37.023830 81.005 -161.1933
37.292122 81.062 -161.7481
37.562355 81.148 -162.3304
37.834549 81.259 -163.0021
38.108715 81.386 -163.8090
38.384865 81.519 -164.7781
38.663017 81.646 -165.9130
38.943184 81.759 -167.1958
39.225384 81.852 -168.5928
39.509628 81.920 -170.0600
39.795933 81.962 -171.5503
40.084309 81.981 -173.0185
40.374775 81.980 -174.4248
40.667347 81.964 -175.7374
40.962040 81.939 -176.9313
41.258869 81.912 -177.9919
41.557846 81.889 -178.9144
41.858990 81.878 -179.7009
42.162315 81.884 179.6365
42.467842 81.915 179.0754
42.775581 81.973 178.5819
43.085552 82.062 178.1128
43.397766 82.180 177.6190
43.712246 82.325 177.0515
44.029003 82.490 176.3683
44.348057 82.667 175.5398
44.669422 82.846 174.5571
44.993114 83.018 173.4236
45.319153 83.177 172.1577
45.647552 83.317 170.7945
45.978333 83.436 169.3785
46.311512 83.535 167.9568
46.647106 83.618 166.5728
46.985130 83.693 165.2585
47.325603 83.767 164.0292
47.668545 83.850 162.8793
48.013969 83.947 161.7839
48.361900 84.064 160.7022
48.712349 84.199 159.5847
49.065338 84.347 158.3862
49.420887 84.500 157.0735
49.779011 84.650 155.6299
50.139729 84.784 154.0590
50.503063 84.896 152.3850
50.869030 84.978 150.6486
51.237648 85.028 148.9003
51.608936 85.047 147.1913
51.982918 85.041 145.5638
52.359608 85.017 144.0426
52.739025 84.984 142.6315
53.121193 84.948 141.3338
53.506130 84.914 140.1161
53.893856 84.883 138.9354
54.284393 84.853 137.7735
54.677761 84.818 136.6299
55.073978 84.777 135.5222
55.473068 84.728 134.4808
55.875050 84.674 133.5399
56.279942 84.619 132.7284
56.687771 84.572 132.0611
57.098553 84.541 131.5345
57.512314 84.535 131.1258
57.929073 84.559 130.8099
58.348850 84.617 130.5341
58.771671 84.707 130.2352
59.197556 84.826 129.8647
59.626526 84.968 129.3834
60.058605 85.124 128.7652
60.493816 85.287 127.9983
60.932178 85.449 127.0831
61.373718 85.605 126.0295
61.818459 85.751 124.8532
62.266422 85.882 123.5730
62.717632 85.998 122.2092
63.172112 86.097 120.7955
63.629883 86.180 119.3495
64.090973 86.247 117.8810
64.555405 86.301 116.4054
65.023201 86.344 114.9329
65.494385 86.378 113.4681
65.968987 86.405 112.0120
66.447021 86.427 110.5634
66.928520 86.443 109.1207
67.413513 86.453 107.6823
67.902016 86.457 106.2475
68.394058 86.454 104.8175
68.889671 86.443 103.4021
69.388878 86.421 102.0083
69.891701 86.390 100.6443
70.398163 86.349 99.3233
70.908295 86.302 98.0580
71.422127 86.249 96.8572
71.939682 86.196 95.7239
72.460983 86.145 94.6522
72.986069 86.099 93.6273
73.514954 86.059 92.6301
74.047676 86.023 91.6432
74.584259 85.987 90.6602
75.124725 85.949 89.6804
75.669113 85.904 88.7251
76.217445 85.854 87.8239
76.769745 85.801 86.9976
77.326050 85.747 86.2590
77.886383 85.700 85.6099
78.450783 85.663 85.0418
79.019272 85.642 84.5360
79.591881 85.643 84.0642
80.168640 85.666 83.5891
80.749573 85.714 83.0673
81.334717 85.785 82.4555
81.924103 85.872 81.7150
82.517761 85.971 80.8230
83.115723 86.072 79.7719
83.718010 86.169 78.5656
84.324669 86.254 77.2177
84.935722 86.322 75.7492
85.551201 86.367 74.1855
86.171143 86.384 72.5549
86.795578 86.372 70.8891
87.424538 86.328 69.2223
88.058052 86.252 67.5898
88.696159 86.146 66.0258
89.338890 86.014 64.5526
89.986275 85.861 63.1957
90.638351 85.692 61.9759
91.295151 85.515 60.8990
91.956711 85.336 59.9607
92.623070 85.159 59.1474
93.294258 84.988 58.4382
93.970306 84.825 57.8088
94.651253 84.667 57.2380
95.337135 84.510 56.7147
96.027985 84.349 56.2455
96.723846 84.180 55.8578
97.424744 83.997 55.5952
98.130722 83.803 55.5202
98.841820 83.601 55.7015
99.558067 83.402 56.1951
100.279503 83.221 57.0301
101.006172 83.073 58.1926
101.738106 82.977 59.6192
102.475342 82.943 61.2021
103.217918 82.977 62.8057
103.965881 83.075 64.2907
104.719261 83.227 65.5381
105.478104 83.416 66.4662
106.242439 83.626 67.0268
107.012314 83.842 67.2245
107.787766 84.050 67.0985
108.568840 84.244 66.6957
109.355576 84.418 66.0660
110.148010 84.570 65.2548
110.946190 84.699 64.3020
111.750153 84.802 63.2453
112.559937 84.880 62.1215
113.375595 84.934 60.9653
114.197159 84.965 59.8056
115.024681 84.975 58.6637
115.858200 84.966 57.5438
116.697754 84.938 56.4616
117.543396 84.893 55.4409
118.395164 84.829 54.5027
119.253105 84.748 53.6741
120.117264 84.655 52.9839
120.987686 84.554 52.4558
121.864410 84.453 52.1005
122.747490 84.362 51.9124
123.636971 84.288 51.8708
124.532898 84.239 51.9449
125.435318 84.218 52.0990
126.344276 84.229 52.2920
127.259819 84.273 52.4803
128.181992 84.347 52.6162
129.110855 84.448 52.6492
130.046448 84.568 52.5337
130.988815 84.698 52.2374
131.938019 84.827 51.7468
132.894089 84.948 51.0686
133.857101 85.053 50.2243
134.827087 85.137 49.2437
135.804108 85.198 48.1599
136.788193 85.234 47.0051
137.779419 85.244 45.8062
138.777832 85.228 44.5928
139.783478 85.186 43.3961
140.796402 85.115 42.2481
141.816666 85.015 41.1872
142.844330 84.886 40.2596
143.879440 84.731 39.5170
144.922043 84.553 39.0131
145.972214 84.361 38.7956
147.029984 84.166 38.8970
148.095428 83.982 39.3251
149.168594 83.824 40.0549
150.249527 83.708 41.0260
151.338303 83.643 42.1425
152.434967 83.635 43.2842
153.539566 83.680 44.3276
154.652176 83.769 45.1678
155.772842 83.885 45.7379
156.901642 84.012 46.0147
158.038620 84.136 46.0157
159.183838 84.243 45.7869
160.337357 84.327 45.3910
161.499222 84.381 44.8962
162.669510 84.405 44.3681
163.848282 84.399 43.8676
165.035599 84.366 43.4449
166.231522 84.310 43.1425
167.436096 84.236 42.9994
168.649414 84.150 43.0491
169.871521 84.060 43.3145
171.102478 83.977 43.8006
172.342361 83.911 44.4887
173.591232 83.870 45.3363
174.849152 83.861 46.2838
176.116180 83.885 47.2686
177.392395 83.942 48.2377
178.677856 84.028 49.1577
179.972626 84.141 50.0051
181.276779 84.277 50.7624
182.590393 84.430 51.4180
183.913513 84.599 51.9610
185.246231 84.776 52.3838
186.588608 84.958 52.6852
187.940704 85.140 52.8738
189.302597 85.320 52.9665
190.674362 85.495 52.9836
192.056061 85.668 52.9420
193.447784 85.839 52.8491
194.849594 86.008 52.7054
196.261551 86.176 52.5007
197.683746 86.338 52.2233
199.116241 86.492 51.8711
200.559113 86.634 51.4529
202.012451 86.761 50.9877
203.476318 86.874 50.4991
204.950790 86.974 50.0090
206.435944 87.065 49.5333
207.931870 87.148 49.0788
209.438629 87.229 48.6449
210.956314 87.307 48.2274
212.484985 87.384 47.8203
214.024734 87.460 47.4214
215.575653 87.535 47.0294
217.137802 87.609 46.6398
218.711273 87.681 46.2445
220.296143 87.751 45.8342
221.892502 87.816 45.4027
223.500427 87.874 44.9500
225.120010 87.923 44.4817
226.751328 87.963 44.0072
228.394455 87.992 43.5372
230.049500 88.012 43.0821
231.716537 88.023 42.6428
233.395645 88.025 42.2297
235.086929 88.019 41.8563
236.790466 88.006 41.5278
238.506348 87.988 41.2480
240.234665 87.965 41.0181
241.975510 87.939 40.8372
243.728958 87.908 40.7031
245.495117 87.875 40.6144
247.274078 87.839 40.5714
249.065933 87.799 40.5759
250.870773 87.756 40.6302
252.688690 87.711 40.7215
254.519775 87.664 40.8526
256.364136 87.617 41.0311
258.221863 87.567 41.2549
260.093048 87.517 41.5236
261.977783 87.464 41.8394
263.876190 87.410 42.2075
265.788361 87.354 42.6349
267.714386 87.298 43.1278
269.654358 87.244 43.6890
271.608398 87.193 44.3134
273.576599 87.148 44.9876
275.559052 87.109 45.6816
277.555878 87.076 46.3788
279.567169 87.046 47.0740
281.593018 87.015 47.7642
283.633545 86.980 48.4580
285.688873 86.938 49.1743
287.759094 86.888 49.9383
289.844330 86.831 50.7770
291.944672 86.769 51.7136
294.060211 86.708 52.7614
296.191101 86.652 53.9197
298.337433 86.607 55.1723
300.499298 86.576 56.4955
302.676849 86.561 57.8545
304.870178 86.560 59.2158
307.079407 86.571 60.5576
309.304626 86.592 61.8689
311.545990 86.620 63.1476
313.803589 86.652 64.3961
316.077545 86.687 65.6169
318.367981 86.723 66.8116
320.675018 86.760 67.9814
322.998749 86.796 69.1277
325.339325 86.830 70.2530
327.696869 86.860 71.3693
330.071503 86.885 72.4809
332.463348 86.905 73.5918
334.872528 86.918 74.7144
337.299164 86.926 75.8610
339.743378 86.931 77.0408
342.205292 86.933 78.2589
344.685059 86.935 79.5138
347.182800 86.939 80.7973
349.698639 86.946 82.0971
352.232697 86.955 83.3989
354.785126 86.965 84.6913
357.356049 86.973 85.9779
359.945587 86.976 87.2580
362.553894 86.974 88.5334
365.181122 86.963 89.8168
367.827362 86.943 91.1224
370.492798 86.915 92.4654
373.177551 86.878 93.8594
375.881744 86.835 95.3156
378.605530 86.787 96.8406
381.349060 86.736 98.4368
384.112488 86.684 100.1024
386.895935 86.633 101.8335
389.699554 86.584 103.6265
392.523468 86.538 105.4731
395.367859 86.496 107.3623
398.232849 86.458 109.2843
401.118622 86.421 111.2319
404.025299 86.386 113.2025
406.953033 86.351 115.1981
409.901978 86.313 117.2250
412.872284 86.273 119.2929
415.864136 86.230 121.4145
418.877655 86.185 123.6032
421.913025 86.141 125.8686
424.970367 86.100 128.2108
428.049866 86.065 130.6204
431.151703 86.039 133.0810
434.276001 86.021 135.5726
437.422943 86.012 138.0780
440.592682 86.008 140.5863
443.785400 86.009 143.0947
447.001251 86.013 145.6072
450.240417 86.018 148.1314
453.503052 86.024 150.6752
456.789307 86.032 153.2433
460.099396 86.044 155.8354
463.433472 86.059 158.4482
466.791687 86.079 161.0744
470.174255 86.103 163.7045
473.581329 86.131 166.3278
477.013092 86.160 168.9326
480.469727 86.188 171.5113
483.951416 86.212 174.0647
487.458313 86.229 176.6044
490.990631 86.235 179.1495
494.548553 86.233 -178.2789
498.132263 86.222 -175.6642
501.741943 86.204 -172.9951
505.377777 86.182 -170.2623
509.039948 86.157 -167.4627
512.728638 86.131 -164.5986
516.444092 86.106 -161.6742
520.186462 86.084 -158.6958
523.955933 86.065 -155.6700
527.752747 86.049 -152.6048
531.577087 86.037 -149.5088
535.429138 86.029 -146.3905
539.309082 86.021 -143.2554
543.217163 86.014 -140.1034
547.153564 86.006 -136.9301
551.118469 85.995 -133.7297
555.112122 85.981 -130.4918
